
!	.
"	"
lóg	N-A
lóg	N-D
lóg	N-N
lóg$	N-A
lóg$	N-D
lóg$	N-N
lóglærari	N-N
lógu	VBDI
lósu	VBDI
lótu	VBDI
lóvaðu	VBDI
lögd	VAN
lögdu	VBDI
lögdust	VBDI
lök$	N-A
lökir	NS-N
lön	NS-A
löt	ADJ-N
lötu	N-A
lúgva	VBPI
lúka	VB
lúka	VBPI
lútaði	VBDI
lýddi	VBDI
lýddu	VBDI
lýdnir	ADJ-N
lýkaóniskum	ADJ-D
lýsing$	N-D
lýsti	VBDI
lýttas	VBPI
lýða	VB
lýðin	ADJ-N
lýðir	ADJ-N
lýðir	VBPI
lýðið	VBI
maga	ADJ-A
magt	ADJ-N
magtaleys	ADJ-N
makedóniskur	ADJ-N
makkarar	NS-A
makt	N-D
maktarleysur	ADJ-N
man	MDPI
mangar	Q-A
mangir	Q-N
mangt	Q-A
mangt	Q-N
mann	N-A
mann$	N-A
mann$	N-D
manna	N-A
manna	NS-G
mannaheim$	N-A
mannahondum	NS-D
mannalíki	N-D
mannamun	N-A
mannamúgv$	N-A
mannamúgv$	N-D
mannamúgv$	N-N
mannamúgva	N-N
mannamúgvun$	N-G
mannamúgvur$	NS-A
mannamúgvur$	NS-N
manndráp	N-A
manndrápari	N-N
manni	N-D
mans	N-G
markini	NS-A
mat	N-A
mat$	N-A
matur	N-N
maður	N-N
maður$	N-N
meg	PRO-A
meg	PRO-D
mega	MDPI
megnaður	VAN
mein	N-A
meina	VB
meina	VBPI
meinboga	N-A
meinti	VBDI
meir	QR-N
meira	QR-A
meira	QR-N
meiri	QR-A
meiri	QR-N
meistar$	N-N
meistari	N-N
men	CONJ
men	FP
menn	NS-A
menn	NS-N
menn$	NS-A
menn$	NS-N
menniskj$	N-A
menniskj$	N-D
menniskj$	N-G
menniskj$	NS-D
menniskj$	NS-N
menniskja	N-A
menniskja	N-N
menniskju	N-A
menniskju	N-G
menniskju$	N-G
menniskju$	NS-D
menniskjum	NS-D
menniskjur	NS-N
menniskjuson$	N-A
menniskjuson$	NS-A
menniskjusonar$	N-G
menniskjusonur	N-N
menniskjusonur$	N-N
menskar	ADJ-A
mentir	VAN
mentist	VBDI
mentur	VAN
merkir	VBPI
merkja	VB
meta	VBPI
mett	VAN
mettast	VB
mettaði	VBDI
mettir	VAN
metum	NS-D
meðan	ADV
meðan	P
meðani	P
middagsleit$	N-A
mikil	Q-N
mikið	Q-A
mikið	Q-N
mikla	Q-A
miklan	Q-A
miklar	Q-A
miklari	Q-D
mikli	Q-N
miklum	Q-D
millum	P
minka	VB
minna	VB
minnast	VB
minni	QR-N
minnstu	QS-D
minsta	QS-N
minsti	QS-N
mintust	VBDI
misbýttar	VAN
miskunnheit	N-A
missa	VB
missir	VBPI
missur	VBPI
mist	VBN
misti	VBDI
mitt	ADJ-N
miðj$	N-D
miðju	ADJ-A
miðju	N-A
miðjum	ADJ-D
mjöli	N-D
molum	NS-D
mong	Q-A
mong	Q-N
mongd	N-N
mongum	Q-D
monnu$	NS-D
monnum	NS-D
morgni	N-D
morgun$	N-A
morgunmat	N-A
mun	N-A
munar	VBPI
mund$	N-A
mundi	MDDS
mundu	MDDS
munn	N-A
munn$	N-D
munni	N-D
munnliga	ADV
munnu	MDPI
muður$	N-N
mynd	N-D
myndir$	NS-A
myrkr$	N-A
myrkr$	N-D
myrkr$	N-N
myrkt	ADJ-N
myrkur	N-A
myrkur	N-N
myrru	N-D
myrrusmyrsli	NS-A
má	MDPI
mál	N-A
mál$	N-A
mála	VBPI
málast	VB
máli	N-D
málleysir	ADJ-N
mán$	N-N
mánaðir	NS-A
mánaðir	NS-N
mátt	N-A
mátti	MDDI
mátti	N-D
máttu	MDDI
máttu	MDPI
mæla	VB
mælti	VBDI
mæltu	VBDI
mær	PRO-D
mætar	ADJ-A
mætari	ADJR-N
mætu	ADJ-A
mín	PRO-A
mín	PRO-G
mín	PRO-N
mína	PRO-A
mínar	PRO-A
míni	PRO-A
míni	PRO-D
míni	PRO-N
mínir	PRO-N
míns	PRO-G
mínum	PRO-D
mítt	PRO-A
mítt	PRO-N
mítts	PRO-G
mót	N-A
móti	N-D
mótleysir	ADJ-N
mótmæltu	VBDI
móðir	N-N
móður	ADJ-N
móður	N-A
móður	N-D
móðurlívi	N-D
móðursystir	N-N
möguligt	ADJ-N
mölmaði	VBDI
möta	VB
mött	VBN
mötti	VBDI
möttu	VBDI
möðkum	NS-D
múgv$	N-N
múgvur$	NS-A
múr$	N-A
naglamerk$	NS-A
nakar	Q-N
nakað	Q-A
nakað	Q-N
nakin	ADJ-N
nakk$	N-A
nakran	Q-A
nakrar	Q-A
nakrari	Q-D
nakrir	Q-N
nam	VBDI
nardussmyrsli	N-D
navn	N-A
navn	N-N
navn$	N-A
navn$	N-N
navni	N-A
navni	N-D
navns	N-G
navns$	N-G
nei	INTJ
neit	VBDI
nemur	VBPI
nevna	VB
nevnast	VB
nevndur	VAN
nevnist	VBPI
nevnt	VAN
neyt	NS-A
neyt$	NS-A
neyð$	N-A
neyð$	N-D
neyðarstand$	N-D
neyðturvuligt	ADJ-N
neyðugt	ADJ-A
neyðugt	ADJ-N
neðra	ADVR
nikkar	VBPI
niðan	ADV
niður	RP
niður$	RP
njóta	VB
nokta	VB
noktaði	VBDI
nomið	VBN
noyddi	VBDI
noyddust	VBDI
nánd	N-D
nátt	N-A
nátt	N-D
nátt	N-N
nátt$	N-A
náttarstund$	N-A
náttartíð	N-D
náð$	N-N
náði	N-A
náði	N-D
náði	N-N
nældi	VBDI
nær	ADJ-N
nær	ADV
nær	WADV
nær$	ADV
nærkast	VB
nærkaðist	VBDI
nærkaðust	VBDI
næsta	ADJS-A
næstu	ADJS-D
nóg	ADV
nógv	Q-A
nógv	Q-N
nógvar	Q-A
nógvir	Q-N
nógvum	Q-D
nógvur	Q-N
nónbil	N-A
nóntíð	N-A
nót$	N-A
nót$	N-N
nögd$	N-D
nöja	N-A
nökrum	Q-D
nökur	Q-A
nökur	Q-N
nú	ADV
nýbygd	N-N
nýggj	ADJ-N
nýggj	NS-N
nýggjar	ADJ-A
nýggjum	ADJ-D
nýliga	ADV
nýtt	ADJ-A
nýtt	ADJ-N
nýtti	VBDI
obinberaðist	VBDI
obinberliga	ADV
oddamenn$	NS-A
offra	VBI
offrar	VBPI
offraðu	VBDI
offur	N-A
offur	NS-A
ofra	VB
ofta	ADV
og	CONJ
og	P
ogn	N-A
ogn	N-D
ognir	NS-A
ogso	ALSO
ok	N-A
okkara	PRO-G
okkum	PRO-A
okkum	PRO-D
okkurt	Q-A
okkurt	Q-N
oksum	NS-D
olmussu	N-A
olmussugávum	NS-D
olmussugávur	NS-N
olmussur	NS-A
om	P
oman	ADV
oman$	ADV
ond	ADJ-N
onga	Q-A
ongan	ADJ-A
ongan	Q-A
onganlunda	Q+N-A
ongin	N-N
ongin	Q-N
ongum	Q-D
onkran	Q-A
onkur	Q-N
onnur	OTHER-N
onnur	OTHERS-A
onnur	OTHERS-N
opinbera	VB
opinberast	VB
opinberað	VBN
opinberaði	VBDI
opinberaði	VBPI
opinberaðir	VAN
opinberaðist	VBDI
opinberaður	VAN
opinberir	ADJ-N
opinberliga	ADV
opinberur	ADJ-N
opinlýst	ADV
opnan	ADJ-A
opnar	ADJ-A
opnað	VAN
opnað	VBN
opnaði	VBDI
opnaðist	VBDI
opnaðust	VBDI
orkar	VBPI
orkaðu	VBDI
orm$	NS-A
orsök	N-A
orsök	N-D
orð	N-A
orð	N-N
orð	NS-A
orð	NS-N
orð$	N-A
orð$	N-D
orð$	N-N
orð$	NS-A
orð$	NS-D
orða	NS-G
orðadrátt	N-A
orðadráttur	N-N
orðaskifti	NS-A
orði	N-D
orðs$	N-G
orðtak$	N-N
orðum	NS-D
ovfarin	VBN
oy$	N-A
oyddi	VBDI
oyr$	N-A
oyr$	NS-A
oyr$	NS-D
oyrir	NS-N
oyrum	NS-D
oyst	VBN
oyða	VB
oyðað	VAN-A
oyði	N-N
oyðimörk$	N-A
oyðimörk$	N-D
oyðin	ADJ-N
oyðivegur	N-N
part	N-A
part$	N-D
partar	NS-A
parti	N-D
pening	N-A
peningavekslarar$	NS-A
peningavirð$	N-D
peningu$	NS-D
plindra	VB
plágað	VAN
portr$	NS-D
prestar	NS-A
prestar$	NS-N
prestu$	NS-D
prestur$	N-N
profet	N-A
profet$	NS-D
profet$	NS-G
profeta$	NS-G
profetabók$	N-D
profetaorð$	NS-A
profetar	NS-N
profetar$	NS-N
profetera	VB
profeteraði	VBDI
profeti	N-D
profetu$	NS-D
profetum	NS-D
profetur	N-N
profetur$	N-N
proselýtar	NPRS-N
proselýtum	NPRS-D
prædika	VB
prædika	VBPI
prædikast	VBPI
prædikaði	VBDI
prædikið	VBI
prísaði	VBDI
prísi	VBPI
prófeterað	VBN
prógva	VBI
prógvaði	VBDI
prógvum	NS-D
prýðað	VAN-A
pund	N-A
pund	NS-A
pung$	N-A
purpuri	N-D
páboðið	VBN
pálmagreinar	NS-A
páskahátíð$	NPR-A
páskalamb$	N-A
páskir	NPRS-A
páskir	NPRS-N
páskir$	NPRS-A
páskum	NPRS-D
pína	VB
pínist	VBPI
pínslu	N-A
rak	VBDI
rangan	ADJ-A
rann	VBDI
rannsaka	VBPI
rannsakaðu	VBDI
rannsókn	N-A
rannsóktir	VAN
redda	VBI
regn	N-A
regna	VB
reinir	ADJ-N
reinsa	VB
reinsan	N-A
reinsanarsiði	N-D
reinsar	VBPI
reinsað	VBN
reinsaði	VBDI
reinsið	VBI
reinska	VB
reinskas	VBPI
reinskað	VAN
reinu	ADJ-N
reinur	ADJ-N
reipum	NS-D
reis	VBDI
reis	VBI
reisa	VB
reisist	VBPI
reist	VBN
reisti	VBDI
reistist	VBDI
reistust	VBDI
reið	VBI
reka	VB
rekast	VBPI
renna	VB
rennandi	VAG
rennur	VBPI
revsa	VB
reyst	N-A
reyst$	N-A
rindar	VBPI
ringa	ADJ-A
ringa	ADJ-D
ringar	ADJ-A
ringara	ADJR-A
ringt	ADJ-N
ringu	ADJ-A
ringu	ADJ-N
risin	VBN
ristist	VBDI
ristið	VBI
ristu	VBDI
risu	VBDI
rokna	VBI
rongu	ADJ-D
rot	N-A
rotið	ADJ-A
rotið	ADJ-N
rotnar	ADJ-A
royna	VB
royna	VBPI
roynd	N-D
royndar	N-G
royndi	VBDI
royndu	VBDI
roynir	VBPI
rudda	VB
ruddið	VBI
run$	N-A
rundan	ADV
runnu	VBDI
runu	N-A
rykkja	VB
rykti	VBDI
ráddi	VBDI
ráddu	VBDI
ránsmaður	N-N
ránsmenn	NS-N
ráð	N-A
ráð	N-N
ráð$	N-A
ráð$	N-D
ráðgerdi	VBDI
ráðharr$	NS-D
ráðharrar	NS-N
ráðharri	N-N
ráði	N-D
ráðlögdu	VBDI
ráðsharr$	NS-D
ráðsharrar	NS-N
ráðsmonnu$	NS-D
ráðvillir	ADJ-N
ræddur	ADJ-N
ræddust	VBDI
rænir	VBPI
rætt	ADJ-A
rætt	ADJ-N
rætt	ADV
rætt	VBI
rætta	VB
rætti	VBDI
rættiligur	ADJ-N
rættir	VBPI
rættlæti	N-D
rættuligur	ADJ-N
rættvísa	ADJ-A
rættvísa	ADJ-G
rættvísan	ADJ-A
rættvísgjördir	VAN
rættvísgjördur	VAN
rættvísi	N-A
rættvísi	N-D
rættvísur	ADJ-N
ræði	N-A
ræði	N-D
ræðist	VBI
ræðist	VBPS
ræðslu	N-A
ræðslu	N-D
ræðslusligin	ADJ-N
rík	ADJ-N
rík$	N-A
ríki	N-A
ríki	N-D
ríki	N-N
rísa	VB
rív	VBI
ríva	VBPI
rívandi	ADJ-N
rívur	VBPI
ríðum	NS-D
róku	VBDI
rómverskir	ADJ-N
rómverskum	ADJ-D
róp	N-A
rópa	VB
rópa	VBI
rópa	VBPI
rópandi	VAG
rópar	VBPI
rópaði	VBDI
rópaðu	VBDI
rópaðu	VBPI
róptaði	VBDI
róptu	VBDI
róð	VBN
rödd	N-A
rödd	N-D
rödd	N-N
rödd$	N-A
rödd$	N-N
rökkur	VBPI
rörast	VBPI
rördi	VBDI
rördur	ADJ-N
röring	N-A
rött	VBN
röva	VB
röða	VB
röðu	N-A
rúm	N-A
rúma	VB
rýkur	VBPI
rýmdir	VBN
rýmir	VBPI
sabbat$	NPR-D
sabbatar$	NPRS-A
sagt	VAN
sagt	VBN
sakaleysir	ADJ-N
sakir	NS-A
sakleysu	ADJ-A
saltast	VB
salva	VBI
salvaða	VAN-D
salvaði	VBDI
salvaður	VAN
sama	ADJ-A
sama	ADJ-D
sama	ADJ-N
saman	ADV
samanballaðan	VAG-A
sameindir	VAN
samfelag$	N-A
samhugað	ADJ-N
samhugaðir	ADJ-N
samkom$	N-D
samkom$	N-N
samkomuhús	N-A
samkomuhús$	N-A
samkomuhús$	N-D
samkomuhús$	NS-D
samkomuhúsi	N-D
samkomuhúsu$	NS-D
samkomuhúsum	NS-D
samlag	N-A
samlar	VBPI
samlað	VBN
samlið	VBI
samlærusveinar	NS-A
samogn	N-N
samráddir	ADJ-N
samráddust	VBDI
samráðast	VB
sams	ADJ-G
samsint	ADJ-N
samsvara	VBPI
samsvarandi	VAG
samtalaði	VBDI
samtykt	VAN
samtykt	VBN
samtyktu	VBDI
sanka	VB
sankar	VBPI
sankaðist	VBDI
sanna	ADJ-A
sanna	ADJ-N
sanna	VB
sannað	VBN
sannaður	VAN
sannföra	VB
sannfördir	VAN
sanniliga	ADV
sannleik$	N-A
sannleik$	N-N
sannleika	N-D
sannleika$	N-D
sannleika$	N-G
sannleiki	N-N
sannorðaður	ADJ-N
sannur	ADJ-N
sat	VBDI
satan	NPR-A
satan	NPR-N
satt	ADJ-A
satt	ADJ-N
savna	VB
savnar	VBPI
savnaðu	VBDI
seg	PRO-A
segði	VBDI
seig	VBDI
seing$	N-D
seinni	ADVR
sekan	ADJ-A
seks	NUM-A
seks	NUM-N
sekur	ADJ-N
seldi	VBDI
seldir	VAN
seldu	VBDI
selt	VAN
selt	VBN
semjist	VBPS
send	VAN
send	VBI
senda	VB
senda	VBPI
sendi	VBDI
sendi	VBPI
sendiboð	N-N
sendir	VAN
sendu	VBDI
sendur	VAN
sengur	NS-A
sent	VAN
sent	VBN
sera	ADV
seta	VB
seta	VBPI
setast	VB
seti	VBPI
setir	VBPI
setst	VBN
setstir	VBN
setstur	VBN
sett	VAN
sett	VBN
settan	VAN-A
setti	VBDI
settist	VBDI
settu	VBDI
settust	VBDI
setur	VBPI
seyð	N-A
seyð$	N-A
seyðabyrg$	N-A
seyðafylgi	N-N
seyði	N-D
seyðir	NS-A
seyðir	NS-N
seyðir$	NS-A
seyðir$	NS-N
seyðu$	NS-D
seyðum	NS-D
seyður	N-N
sig	VBI
siga	NS-A
siga	VB
siga	VBPI
sigandi	VAG
sigi	VBPI
sigin	VAN
sigið	VBI
sigldi	VBDI
sigldu	VBDI
signing	N-A
sigur	N-A
sigur	VBPI
silvur	N-A
silvuri	N-D
sindur	N-A
sinnalag	N-A
sinni	N-D
sinnisrördur	ADJ-N
sissaðust	VBDI
sita	VB
sita	VBPI
sitandi	VAG
sitið	VBN
situr	VBPI
siði	N-D
siðir	NS-A
siður	N-N
sjel	N-A
sjey	NUM-A
sjey	NUM-D
sjeynda	ADJ-A
sjigd	VBN
sjálva	PRO-G
sjálvan	PRO-A
sjálvar	PRO-A
sjálvari	PRO-D
sjálvir	PRO-N
sjálvs	PRO-G
sjálvt	PRO-A
sjálvum	PRO-D
sjálvur	PRO-N
sjógv$	N-A
sjón	N-A
sjón	N-D
sjón	N-N
sjón$	N-A
sjón$	N-N
sjónir	NS-A
sjúk	ADJ-A
sjúk	ADJ-N
sjúka	N-N
sjúkdómi	N-D
sjúku	ADJ-D
sjúkum	ADJ-D
sjúkur	ADJ-N
sjúti	NUM-D
skal	MDPI
skald$	NS-D
skalt	MDPI
skalv	VBDI
skamma	VB
skammul	N-N
skar$	N-N
skara	N-A
skari	N-N
skarlakskappa	N-A
skarlakskappa$	N-D
skarpur	ADJ-N
skattaútskriving$	N-N
ske	VBPS
skeddi	VBDI
skein	VBDI
skeið	N-A
skemma	VB
sker	VBPI
skera	VB
skifta	VBPI
skilamanni	N-D
skilaðu	VBDI
skilaður	VAN
skildi	VBDI
skildist	VBDI
skildu	VBDI
skildust	VBDI
skilir	VBPI
skilja	VB
skilja	VBPI
skilji	VBPI
skiljir	VBPI
skiljur	VBPI
skilliga	ADV
skilligt	ADJ-N
skilt	VBN
skip$	N-A
skipað	VBN
skjótari	ADVR
skjótast	ADVS
skjótt	ADV
skortnaði	VBDI
skotið	VBN
skoða	VB
skoðaðu	VBDI
skrift$	N-A
skrift$	N-D
skrift$	N-N
skriftarorð$	N-N
skriftir$	NS-A
skriftlærdu	ADJ-A
skriftlærdu	ADJ-N
skriftorð	N-N
skriftorði	N-D
skriftu$	NS-D
skriftum	NS-D
skrivað	VAN
skrivað	VBN
skrivaðar	VAN
skrivaði	VBDI
skrivaðu	VBDI
skriðdjór	NS-A
skriðdjór	NS-N
skræddu	VBDI
skrædnaði	VBDI
skræða	VB
skræðir	VBPI
skugg$	N-N
skugga	VB
skula	MDPI
skuld	N-A
skuld	N-D
skuldi	MDDS
skuldu	MDDS
skuli	MDPI
skulldu	MDDI
skulli	MDPI
skullu	MDPI
skulu	MDPI
skundisliga	ADV
skurðar	N-G
skurðgud$	N-D
skurðgudaofrum	NS-D
skurðgudum	NS-D
skyld	N-A
skyldfólki	N-D
skyldi	MDDS
skyldigur	ADJ-N
skyldmaður	N-N
skyldu	MDDS
skál$	N-A
skína	VB
skínandi	VAG
skínur	VBPI
skógvar	NS-A
skógvar$	NS-A
skóru	VBDI
sköl	NS-N
skýggj	N-N
slag	N-A
slagi	N-A
slat	ADV
slekt	N-D
sleppa	VB
sleppi	VBPI
sleppið	VBI
sleptir	VAN
sleptu	VBDI
sligið	VBN
slopnir	VAN
slá	VB
sláa	VB
sláa	VBPI
sláturoffur	NS-A
slær	VBPI
slært	VBPI
slík	SUCH-A
slíkar	SUCH-A
slíkar	SUCH-N
slíkir	SUCH-N
slíta	VB
slíðrar$	NS-A
sló	VBDI
slógu	VBDI
slög	NS-A
slög$	NS-A
smakka	VB
smakkaði	VBDI
smurdi	VBDI
smyrsl$	N-D
smyrsl$	N-N
smá	ADJ-N
smábörn	NS-A
smábörnum	NS-D
smádrongur	N-N
smápengar$	N-A
snakkaði	VBDI
snavur	ADJ-N
snávar	VBPI
snúgva	VB
snúgvnir	ADJ-N
so	ADV
so	ADVR
so	P
so$	ADVR
sodaana	SUCH-A
soleiðis	ADV
soleiðis	ADVR
som	C
somu	ADJ-A
somu	ADJ-D
somu	ADJ-N
somul	ADJ-N
somuleiðis	ADV
son	N-A
son$	N-A
son$	NS-A
sonar	N-G
song	N-A
song$	N-A
soni	N-D
sonnu	ADJ-N
sonnum	ADJ-D
sonum	NS-D
sonur	N-N
sonur$	N-N
sorg	N-A
sorg	N-N
sorgarbundnir	ADJ-N
sova	VB
sovnaði	VBDI
sovnaður	VBN
sovorðin	ADJ-N
sovorðna	ADJ-A
sovorðnan	ADJ-A
spakförur	ADJ-N
spillis	N-G
spillist	VBPI
spinna	VBPI
spjaddi	VBDI
spjaddir	VAN
spjaddust	VBDI
spjaðast	VB
spjaðir	VBPI
spjót	N-A
spjödd	VAN
spotta	VBPI
spottan	N-N
spottar	VBPI
spottaðu	VBDI
spottorð	NS-A
sprakk	VBDI
spreiddu	VBDI
spreiðir	VBPI
spurdi	VBDI
spurdist	VBDI
spurdu	VBDI
spurning$	N-A
spursmál	N-A
spurt	VBN
spyr	VBI
spyr	VBPI
spyrja	VB
spyrji	VBPI
spyrjið	VBI
spyrt	VBPI
spáa	VB
spáaðu	VBDI
spádómsanda	N-A
spádómur	N-N
spýtt$	N-D
spýtti	VBDI
staddur	ADJ-N
stakk	VBDI
standa	VB
standa	VBPI
standandi	VAG
stara	VBPI
stardi	VBDI
stardu	VBDI
starvi	N-D
statt	VBI
statt	VBN
stað	N-A
stað$	N-A
stað$	N-D
staðar	N-G
staðarlið$	NS-A
staðfest	VBN
staði	N-D
staðir	NS-A
staðið	VBN
staðni	NS-A
staður	N-N
staður$	N-N
steig	VBDI
stein	N-A
stein$	N-A
steina	VB
steina	VBPI
steinar	NS-A
steinaðar	VAN
steinaðir	VAN
steinaðu	VBDI
steini	N-D
steinsettum	VAN-D
steinur	N-N
steinur$	N-N
stendur	VBPI
sterkir	ADJ-N
stevnt	VBN
steðga	VB
steðgaðu	VBDI
stigið	VBN
stignir	VBN
stigu	VBDI
stilla	VBPI
sting	N-A
stjala	VB
stjala	VBPI
stjörnu	N-A
stokk$	N-A
stongt	VAN-A
stoyta	VB
stoytast	VB
stoytir	VBPI
stoytti	VBDI
stoyttist	VBDI
straks	ADV
strakti	ADJ-N
strangt	ADJ-A
strax	ADV
streva	VBPI
strikaðar	VAN
stræk	VBI
stríð	N-N
stríðast	VBPI
stríðst	VBN
stund	N-A
stund	N-D
stund	N-N
stund$	N-D
stundir	NS-A
stungu	VBDI
sturta	VBI
sturtaði	VBDI
stutta	ADJ-A
stykk$	N-N
stynjan	N-A
styrknaði	VBDI
styrkt	VAN
styrkt	VBN
styrkti	VBDI
styrktu	VBDI
stádiur	NS-A
stíga	VB
stígið	VBI
stóisku	ADJ-D
stór	ADJ-A
stór	ADJ-N
stóra	ADJ-A
stóra	ADJ-G
stóran	ADJ-A
stórar	ADJ-N
stóri	ADJ-N
stórliga	ADV
stórt	ADJ-A
stórt	ADJ-N
stóru	ADJ-A
stórum	ADJ-D
stórur	ADJ-N
stórverk	NS-A
stóð	VBDI
stóðst	VBDI
stóðu	VBDI
stödd	VAN
stökk	VBDI
störri	ADJR-A
störri	ADJR-N
största	ADJS-A
stövum	NS-D
stöðu$	NS-D
stöðugt	ADV
stýrismenn$	NS-A
stýrismenn$	NS-N
stýrismonnunum	NS-D
sum	C
sum	C21
summað	VBN
summi	Q-N
summir	Q-N
sundur	ADV
sundurbýtt	VAN
sundurspjaddu	VAN-A
sungu	VBDI
suður	ADV
svamp	N-A
svangir	ADJ-N
svangur	ADJ-N
svar	N-A
svara	VB
svarar	VBPI
svaraði	VBDI
svaraðu	VBDI
svaraðu	VBI
svart	ADJ-N
svav	N-N
svav	VBDI
sveiggjar	VBPI
sveik	VBDI
sveinar	NS-A
sveinar	NS-N
sveinar$	NS-A
sveinar$	NS-N
sveinu$	NS-D
sveipaðu	VBDI
sveittadúk$	N-A
sveittadúkur	N-N
svevur	VBPI
svik	NS-N
svikaprofet	N-A
svikaráð	N-A
svikaráð	NS-A
sviki	N-D
svikin	VAN
svo	ADV
svongd	N-A
svorið	VBN
svárliga	ADV
svíkja	VB
svíkjarar	NS-N
svíkur	VBPI
svírar	NS-N
svörja	VB
svörð	N-A
svörð$	N-A
svörði	N-D
svövnhvíld$	N-A
svövni	N-D
syn$	N-D
synd	N-A
synd	N-D
synd	N-N
synd$	N-A
synd$	N-D
synda	VBI
synda$	NS-G
syndafyrigeving	N-A
syndafyrigeving	N-N
syndaleysur	ADJ-N
syndarar	NS-A
syndari	N-N
syndað	VBN
syndigur	ADJ-N
syndir	NS-N
syndir$	NS-A
syndum	NS-D
syni	N-D
synir	NS-A
synir	NS-N
syrgiliga	ADV
syrgiligane	ADV
syrgin	ADJ-N
syrgja	VB
syrgja	VBPI
systir	N-N
systur	N-A
sá	VBDI
sáa	VB
sáa	VBPI
sáar	VBPI
sáað	VAN
sáaði	VBDI
sál	N-A
sál	N-D
sál	N-N
sálarbótar	N-G
sálig	ADJ-N
sáligur	ADJ-N
sálir	NS-A
sálir	NS-N
sálm$	N-D
sálmabók$	N-D
sálmi	N-D
sálum	NS-D
sámiligt	ADJ-N
sár	N-A
sáran	ADJ-A
sást	VBDI
sáttmála$	N-G
sáðingamann$	N-A
sáðmaður	N-N
sæddur	VAN
sælir	ADJ-N
sælur	ADJ-N
sær	ADJ-A
sær	PRO-D
sær	VBPI
sært	VBPI
sætt	VAN
sætta	ADJ-A
sæð	VBN
sí	VBI
síggi	VBPI
síggi	VBPS
síggið	VBI
síggj	VBI
síggja	VB
síggja	VBPI
síggja$	VBI
síggjandi	VAG
sín	PRO-A
sín	PRO-G
sína	PRO-A
sína	PRO-G
sínar	PRO-A
sínari	PRO-D
síni	PRO-A
síni	PRO-D
síns	PRO-G
sínum	PRO-D
sítt	PRO-A
síð$	N-A
síðan	ADV
síðani	ADV
síðsta	ADJS-A
síðu	N-A
sóknaðust	VBDI
sól$	N-A
sótu	VBDI
sóu	VBDI
sóu	VBPI
sög$	N-A
sögdu	VBDI
sök	N-A
sök	N-D
söki	VBPI
sökir	VBPI
sökið	VBI
sökja	VBPI
sökti	VBDI
söktu	VBDI
söluvirð$	N-D
sömir	VBPI
sötum	ADJ-D
súlnagangi	N-D
súlnagangir	NS-A
súlnagong	N-D
súlnagong$	N-D
súrnaði	VBDI
sýn	VBI
sýna	VB
sýndi	VBDI
sýndust	VBDI
sýnir	VBPI
sýnt	VBN
ta	D-A
tagdi	VBDI
tak	VBI
tak$	N-A
taka	VB
taka	VBPI
takast	VB
taki	VBPI
takkargerð	N-A
takkað	VBN
takki	VBPI
tal	N-N
tal$	N-N
tala	N-N
tala	VB
tala	VBPI
talar	VBPI
talað	VAN
talað	VBN
talaði	VBDI
talaðu	VBDI
talaðu	VBI
tald	VAN
taldur	VAN
tali	N-D
tali	VBPI
talið	VBI
talsmann	N-A
talsmaður$	N-N
talu	N-A
tann	D-A
tann	D-N
tað	D-A
tað	D-N
tað	ES
tað	N-N
tað	PRO-A
tað	PRO-N
teg	PRO-A
teim	D-D
teim	PRO-D
teimum	D-D
teimum	PRO-A
teimum	PRO-D
teir	D-A
teir	D-G
teir	D-N
teir	PRO-A
teir	PRO-N
teirra	PRO-G
teirri	ADJ-D
teirri	D-D
tekin	N-A
tekin	N-N
tekin	NS-A
tekin	NS-N
tekin$	N-A
tekin$	N-N
teknum	N-D
teknum	NS-D
tekur	VBPI
templ$	N-A
templ$	N-N
templum	NS-D
tempul	N-A
tempulkist$	N-D
tempulvígsluhátíð$	N-N
tendra	VBPI
tepti	VBDI
tess	D-G
tess	PRO-G
tey	D-A
tey	D-N
tey	PRO-A
tey	PRO-N
tiga	VB
tigandi	VAG
tikin	VAN
tikið	VAN
tikið	VBN
tiknan	VAN-A
til	P
til	RP
til$	P
til$	RP
tilbiðið	VAN
tilbiðja	VB
tilbiðja	VBPI
tilbiðjarar	NS-N
tilburð	N-A
tilburð$	N-D
tilbóðu	VBDI
tilbúgva	VB
tilbúgvið	VBN
tilkomandi	VAG
tillátt	VAN
tillíka	ADV
tillíka	ALSO
tilnavn$	N-D
tilskilað	VBN
tilsteddi	VBDI
tilstíga	VBI
tilætlaður	VAN
tit	PRO-N
tjald	N-A
tjaldbúð	N-A
tjóvar	NS-N
tjóvur	N-N
tjóð$	N-N
tjóðir	NS-A
tjóðum	NS-D
tjúgu	NUM-A
toka	N-N
toknaður	ADJ-N
tol	N-A
tola	VBPI
toligari	ADVR
toluligari	ADVR
tor$	N-N
tordi	VBDI
torg$	N-A
torg$	NS-D
torgu$	NS-D
tornakrún$	N-D
tornarunn$	N-D
tornarunni	N-D
tornum	NS-D
tortrúgvnu	ADJ-N
tos	N-N
traba	VB
trakka	VB
trakkast	VB
tredivu	NUM-N
tremur	NS-A
treyst	N-A
treysti	N-D
treyt	VBDI
trilva	VB
trilvaði	VBDI
trimum	NUM-D
triðja	ADJ-A
triðja	ADJ-D
triðja	ADJ-N
troddi	VBDI
trongd	N-A
trongd	N-N
trongd$	N-D
trongdi	VBDI
trongdir	NS-A
trongdum	NS-D
trongja	VBPI
trongt	ADJ-N
troysta	VB
troystaðu	VBDI
