Fossavatnsgangan	nvengs
að	cn
fara	sng
mjög	aa
hratt	aa
.	pl

Valur	nken-s
Vífilsson	nken-s
segir	sfg3en
að	c
efnið	nheng
í	af
grindinni	nveþg
sé	svg3en
mun	nkeþ
harðara	lhenvm
en	c
stálið	nheng
sem	ct
notað	sþghen
sé	svg3en
í	af
flesta	lkfose
bíla	nkfo
og	c
hún	fpven
er	sfg3en
stífari	lvenvm
og	c
gefur	sfg3en
minni	lveovm
fjöðrun	nveo
.	pl

Það	fphen
þarf	sfg3en
að	cn
styrkja	sng
bílinn	nkeog
gífurlega	aa
því	fpheþ
hann	fpken
er	sfg3en
byggður	lkensf
fyrir	af
2.000	ta
hestöfl	nhfo
og	c
þar	aa
yfir	aa
.	pl

Við	fp1fn
setjum	sfg1fn
hann	fpkeo
ekki	aa
upp	aa
í	af
2.000	ta
hestöfl	nhfo
á	af
þessu	faheþ
ári	nheþ
en	c
það	fphen
verður	sfg3en
örugglega	aa
gert	sþghen
.	pl

Það	fphen
er	sfg3en
bara	aa
gert	sþghen
með	af
því	fpheþ
að	cn
skipta	sng
um	af
eldsneytistegund	nveo
-	pa
fara	sng
yfir	aa
í	af
alkóhól	nheo
.	pl

Við	fp1fn
eigum	sfg1fn
til	aa
nítrókerfi	nheo
í	af
bílinn	nkeog
en	c
nítró	nhen
er	sfg3en
yfirleitt	aa
ekki	aa
notað	sþghen
með	af
blásara	nkeþ
,	pk
segir	sfg3en
Valur	nken-s
.	pl

Valur	nken-s
segir	sfg3en
að	c
mikil	lvensf
uppsveifla	nven
sé	svg3en
í	af
kvartmílunni	nveþg
.	pl

Nú	aa
sé	svg3en
t.d.	ks
að	cn
koma	sng
inn	aa
í	af
íþróttina	nveog
1.200	ta
hestafla	nhfe
bíll	nken
,	pk
talsvert	aa
léttari	lkenvm
,	pk
og	c
fleiri	lkfnvm
góðir	lkfnsf
.	pl

Vilja	sfg3fn
fækka	sng
og	c
stækka	sng
lögregluumdæmin	nhfog
:	pa
Í	af
SKOÐANAKÖNNUN	nveþ
á	af
vef	nkeþ
Félags	nhee-s
íslenskra	lkfesf
bifreiðaeigenda	nkfe
,	pk
fib.is	v
,	pk
er	sfg3en
skoðanakönnun	nven
þar	aa
sem	c
viðhorf	nhen
almennings	nkee
til	af
löggæslumála	nhfe
er	sfg3en
kannað	sþghen
.	pl

Spurning	nven
vikunnar	nveeg
er	sfg3en
sú	faven
hvort	c
menn	nkfn
telji	svg3fn
að	c
það	fphen
leiði	svg3en
til	af
betri	lveevm
og	c
skilvirkari	lveevm
löggæslu	nvee
að	cn
fækka	sng
lögregluumdæmunum	nhfþg
hér	aa
á	af
landi	nheþ
.	pl

Lögregluumdæmin	nhfng
á	af
Íslandi	nheþ-s
eru	sfg3fn
28	ta
eða	c
jafn	aa
mörg	lhfnsf
og	c
í	af
Noregi	nkeþ-s
.	pl

Talið	sþghen
er	sfg3en
að	c
fækkun	nven
og	c
stækkun	nven
umdæmanna	nhfeg
leiði	svg3en
til	af
skilvirkari	lveevm
og	c
betri	lveevm
löggæslu	nvee
,	pk
ekki	aa
síst	aae
á	af
landsbyggðinni	nveþg
.	pl

65%	tp
þeirra	fakfe
sem	ct
tóku	sfg3fþ
afstöðu	nveo
voru	sfg3fþ
sammála	lkfnof
fullyrðingunni	nveþg
en	c
7,7%	tp
ósammála	lkfnof
.	pl

26,9%	tp
tóku	sfg3fþ
ekki	aa
afstöðu	nveo
.	pl

Í	af
minningu	nveþ
VW-bjöllunnar	nveegs
:	pa
FRAMLEIÐSLU	nveþ
Volkswagen-bjöllunnar	nveegs
hefur	sfg3en
verið	sþghen
hætt	sþghen
og	c
er	sfg3en
þar	aa
að	af
margra	lkfesf
mati	nheþ
skarð	nhen
fyrir	af
skildi	nkeþ
.	pl

Bjallan	nveng
á	sfg3en
sess	nkeo
í	af
sögu	nveþ
bifreiðaframleiðslu	nvee
sem	ct
ekki	aa
verður	sfg3en
hnikað	sþghen
.	pl

Þetta	fahen
voru	sfg3fþ
öðru	foheþ
vísi	aa
bílar	nkfn
og	c
augljóslega	aa
bílar	nkfn
sem	ct
stóðust	sfm3fþ
tímans	nkeeg
tönn	nveo
.	pl

Mikið	lhensf
hefur	sfg3en
verið	sþghen
skrifað	sþghen
um	af
Bjölluna	nveogs
í	af
tilefni	nheþ
af	af
þessum	fahfþ
tímamótum	nhfþ
,	pk
m.a.	ks
hafa	sfg3fn
framleiðendurnir	nkfng
sjálfir	fbkfn
verið	sþghen
duglegir	lkfnsf
að	cn
birta	sng
efni	nheo
sem	ct
flest	lhense
er	sfg3en
í	af
anda	nkeþ
ljúfsárra	lvfesf
minninga	nvfe
.	pl

Eftirfarandi	lvfnof
tilvitnanir	nvfn
eru	sfg3fn
í	af
grein	nveo
sem	ct
Volkswagen-verksmiðjurnar	nvfngs
sendu	sfg3fþ
frá	af
sér	fpvfþ
.	pl

Hljóðið	nheng
leynir	sfg3en
sér	fpheþ
ekki	aa
Allt	fohen
frá	af
fimmta	lkeþvf
áratugnum	nkeþg
og	c
fram	aa
á	af
þann	fakeo
níunda	lkeovf
,	pk
var	sfg3eþ
eitt	lhensf
það	fahen
hljóð	nhen
á	af
þýskum	lhfþsf
strætum	nhfþ
og	c
víðar	aam
sem	ct
aldrei	aa
breyttist	sfm3eþ
og	c
vakti	sfg3eþ
alltaf	aa
fólk	nheo
til	af
vitundar	nvee
.	pl

Fékk	sfg3eþ
það	fpheo
til	af
að	cn
skima	sng
í	aa
kringum	af
sig	fpheo
,	pk
því	fpheþ
ef	c
það	fphen
heyrðist	sfm3eþ
í	af
Bjöllu	nveþ-s
,	pk
leit	sfg3eþ
fólk	nhen
upp	aa
til	af
að	cn
koma	sng
auga	nheþ
á	af
hana	fpveo
.	pl

Þeir	fakfn
sem	ct
teljast	sfm3fn
til	af
Bjöllu-kynslóðarinnar	nveegs
eiga	sfg3fn
það	fpheo
meira	lheovm
að	cn
segja	sng
til	af
að	cn
setja	sng
upp	aa
fjarrænan	lkeosf
svip	nkeo
,	pk
eins	aa
og	c
þeir	fpkfn
séu	svg3fn
að	cn
muna	sng
eftir	af
einhverju	foheþ
gömlu	lheþsf
og	c
notalegu	lheþsf
,	pk
einhverju	foheþ
sem	ct
heyrir	sfg3en
minningunni	nveþg
til	aa
.	pl

Enda	c
er	sfg3en
hljóð	nhen
Bjöllunnar	nveegs
einstakt	lhensf
.	pl

Ekkert	fohen
annað	fohen
ökutæki	nhen
nær	sfg3en
að	cn
blanda	sng
því	fpheþ
saman	aa
að	cn
suða	sng
og	c
skyrpa	sng
við	af
undirleik	nkeo
loftviftu	nvee
,	pk
en	c
eitt	fohen
af	af
mörgum	lhfþsf
séreinkennum	nhfþ
Bjöllunnar	nveegs
var	sfg3eþ
einmitt	aa
loftkæling	nven
vélarinnar	nveeg
.	pl

Í	af
þessum	fahfþ
efnum	nhfþ
er	sfg3en
það	fphen
haft	sþghen
er	sfg3en
fyrir	af
satt	lheosf
,	pk
að	c
auglýsingafyrirtæki	nhen
sem	ct
sinnti	sfg3eþ
Volkswagen	n----s
í	af
lok	nhfo
sjöunda	lkeevf
áratugarins	nkeeg
dró	sfg3eþ
upp	aa
lista	nkeo
yfir	af
það	faheo
sem	ct
fólk	nhen
elskar	sfg3en
og	c
er	sfg3en
þýskt	lhensf
eins	aa
og	c
það	fphen
var	sfg3eþ
orðað	sþghen
.	pl

Könnunin	nveng
leiddi	sfg3eþ
í	af
ljós	nheo
að	c
það	fphen
var	sfg3eþ
ýmislegt	lhensf
sem	ct
heyrði	sfg3eþ
undir	af
það	fpheo
,	pk
m.a.	ks
Heidelberg	n----s
,	pk
Goethe	n----s
,	pk
gauksklukkur	nvfn
frá	af
Bæjaralandi	nheþ-s
,	pk
Loreleiblómið	nhengs
svo	aa
eitthvað	fohen
sé	svg3en
nefnt	sþghen
og	c
svo	aa
auðvitað	aa
Bjallan	nvengs
.	pl

Gengið	sþghen
er	sfg3en
svo	aa
langt	aa
að	cn
kalla	sng
Bjölluna	nveogs
sendiherra	nkeo
Þýskalands	nhee-s
um	af
heim	nkeo
allan	fokeo
.	pl

Áratugum	nkfþ
saman	aa
var	sfg3eþ
Bjallan	nvengs
mest	aae
innflutti	lkenvf
erlendi	lkenvf
bíllinn	nkeng
í	af
Bandaríkjunum	nhfþgs
og	c
á	af
Suður-Kyrrahafseyjunni	nveþgs
Naru	n----s
náði	sfg3eþ
Bjallan	nvengs
200	ta
prósenta	nhfe
söluaukningu	nveþ
eitt	foheo
árið	nheog
,	pk
er	sfg3en
Bjöllum	nvfþ-s
fjölgaði	sfg3eþ
úr	af
einni	tfveþ
í	af
þrjár	tfvfo
!	pl

Að	cn
breyta	sng
Bjöllu	nveþ-s
?	pl

Framleiðendurnir	nkfng
segja	sfg3fn
að	c
allt	fohen
aftur	aa
til	af
ársins	nheeg
1948	ta
hafi	svg3en
suðað	sþghen
í	af
eyrum	nhfþ
raddir	nvfn
sem	ct
vildu	sfg3fþ
endilega	aa
breyta	sng
Bjöllunni	nveþgs
,	pk
enda	c
var	sfg3eþ
bent	sþghen
á	af
eitt	foheo
og	c
annað	foheo
sem	ct
var	sfg3eþ
að	cn
detta	sng
úr	af
tísku	nveþ
,	pk
eða	c
að	c
framþróun	nven
kvað	sfg3eþ
svo	aa
á	aa
um	aa
.	pl

Með	af
vitund	nveþ
og	c
vilja	nkeþ
stóðust	sfm3fþ
framleiðendurnir	nkfng
þessar	favfo
raddir	nvfo
og	c
gerðu	sfg3fþ
hreinlega	aa
í	af
því	fpheþ
að	cn
gera	sng
grín	nheo
að	af
sér	fpkfþ
í	af
auglýsingaherferðum	nvfþ
.	pl

Þetta	fahen
hafði	sfg3eþ
auðvitað	aa
þau	fahfo
áhrif	nhfo
að	c
vinsældir	nvfn
Bjöllunnar	nveegs
jukust	sfm3fþ
.	pl

Það	fphen
var	sfg3eþ
enn	aa
fremur	aam
gríðarlega	aa
vinsælt	lhensf
að	cn
læra	sng
á	af
Bjölluna	nveogs
,	pk
að	cn
aka	sng
fyrstu	lkfove
metrana	nkfog
við	af
stýri	nheo
bifreiðar	nvee
í	af
Bjöllu	nveþ-s
.	pl

VW	n----s
gerði	sfg3eþ
könnun	nveo
árið	nheog
1967	ta
og	c
varpaði	sfg3eþ
í	af
kjölfarið	nheog
fram	aa
þeirri	faveþ
spurningunni	nveþg
:	pa
Hvers	fshee
vegna	af
vilja	sfg3fn
þúsundir	nvfn
læra	sng
á	af
Bjöllu	nveo-s
umfram	af
aðrar	fovfo
bifreiðar	nvfo
á	af
ári	nheþ
hverju	fsheþ
?	pl

Svarið	nheng
var	sfg3eþ
:	pa
Það	fphen
er	sfg3en
svo	aa
auðvelt	lhensf
að	cn
aka	sng
þeim	fpvfþ
!	pl

Ekki	aa
flóknara	lhenvm
en	c
það	fphen
.	pl

Lyktin	nveng
og	c
fleira	lhenvm
Annað	fohen
var	sfg3eþ
lyktin	nveng
,	pk
sem	ct
var	sfg3eþ
algerlega	aa
einstök	lvensf
.	pl

Inni	aa
í	af
Bjöllunni	nveþgs
dró	sfg3eþ
fólk	nhen
andann	nkeog
og	c
fann	sfg3eþ
þá	aa
fyrir	af
heitri	lveþsf
vélinni	nveþg
og	c
upphituðum	lhfþsf
teppum	nhfþ
.	pl

Þetta	fahen
var	sfg3eþ
hluti	nken
af	af
Bjöllunni	nveþgs
frá	af
fyrstu	lveþve
tíð	nveþ
.	pl

Samkeppnisaðilar	nkfn
reyndu	sfg3fþ
að	cn
mæta	sng
þessu	faheþ
með	af
því	fpheþ
að	cn
lofa	sng
kaupendum	nkfþ
lyktarlausri	lveþsf
kyndingu	nveþ
,	pk
en	c
áttuðu	sfg3fþ
sig	fpkfo
ekki	aa
á	af
því	fpheþ
að	c
VW	n----s
hafði	sfg3eþ
þarna	aa
forskot	nheo
sem	ct
stafaði	sfg3eþ
af	af
því	fpheþ
að	c
lyktin	nveng
virkaði	sfg3eþ
einnig	aa
sem	c
kynding	nven
og	c
þótt	c
hér	aa
hafi	svg3en
aðeins	aa
verið	sþghen
um	af
volgt	lheosf
streymi	nheo
að	cn
ræða	sng
,	pk
þá	aa
voru	sfg3fþ
samkeppnisaðilarnir	nkfng
í	af
upphafi	nheþ
ekki	aa
með	af
neina	foveo
kyndingu	nveo
.	pl

Bjallan	nvengs
hafði	sfg3eþ
því	aa
það	faheo
orð	nheo
á	af
sér	fpveþ
að	cn
vera	sng
hlý	lvensf
.	pl

Það	fphen
mætti	svg3eþ
halda	sng
lengi	aa
áfram	aa
,	pk
eldsneytiseyðslan	nveng
þótti	sfg3eþ
lítil	lvensf
,	pk
bíllinn	nkeng
var	sfg3eþ
snaggaralegur	lkensf
í	af
þrengslum	nhfþ
og	c
fleira	lhenvm
og	c
fleira	lheovm
.	pl

Og	c
nú	aa
er	sfg3en
Bjallan	nvengs
öll	foven
þótt	c
enn	aa
sjáist	svm3en
hún	fpven
á	af
götum	nvfþ
úti	aa
.	pl

Framleiðslunni	nveþg
hefur	sfg3en
verið	sþghen
hætt	sþghen
og	c
menn	nkfn
rifja	sfg3fn
upp	aa
að	c
þegar	c
sú	faven
síðasta	lvenve
kláraðist	sfm3eþ
á	af
færibandinu	nheþg
í	af
Emden	n----s
í	af
Þýskalandi	nheþ-s
árið	nheog
1978	ta
,	pk
sögðu	sfg3fþ
framleiðendurnir	nkfng
hreyknir	lkfnsf
frá	af
því	fpheþ
að	c
þeir	fpkfn
hefðu	svg3fþ
haldið	sþghen
Bjöllunni	nveþgs
óbreyttri	lveþsf
til	af
endalokanna	nhfeg
og	c
að	c
21	ta
milljón	nven
Bjöllu-kaupenda	nkfe-s
hefðu	svg3fþ
verið	sþghen
með	aa
á	af
nótunum	nvfþg
.	pl

Megane	n----s
Coupé	e
með	af
glerblæju	nveþ
:	pa
NÝJA	lvenvf
Megane	n----s
II	ta
línan	nveng
frá	af
Renault	n----s
er	sfg3en
nú	aa
óðum	aa
að	cn
taka	sng
á	af
sig	fpveo
mynd	nveo
,	pk
en	c
alls	aa
hafa	sfg3fn
fimm	tfvfn
útgáfur	nvfn
verið	sþghen
kynntar	sþgvfn
,	pk
til	af
viðbótar	nvee
við	af
Megane	n----s
II	ta
stuttbakinn	nkeog
sem	ct
kom	sfg3eþ
á	af
markað	nkeo
sl.	ks
haust	nheo
.	pl

Þar	aa
á	aa
meðal	aa
er	sfg3en
alveg	aa
ný	lvensf
útfærsla	nven
á	af
blæjubíl	nkeþ
,	pk
sem	ct
hefur	sfg3en
í	af
stað	nkeo
hinnar	gvee
hefðbundnu	lveevf
blæju	nvee
samanfellanlega	lveosf
glerblæju	nveo
.	pl

Sannkölluð	lvensf
óskabyrjun	nven
Renault	n----s
tilkynnti	sfg3eþ
á	af
síðasta	lheþve
ári	nheþ
að	c
nýja	lvenvf
Megane	n----s
línan	nveng
myndi	svg3eþ
standa	sng
saman	aa
af	af
sjö	tfvfþ
mismunandi	lvfþof
útfærslum	nvfþ
og	c
að	c
hver	foven
þeirra	fpvfe
yrði	svg3eþ
kynnt	sþgven
með	af
tiltölulega	aa
stuttu	lheþsf
millibili	nheþ
.	pl

Segja	sng
má	sfg3en
að	c
þessi	faken
franski	lkenvf
bifreiðaframleiðandi	nken
hafi	svg3en
staðið	sþghen
við	af
stóru	lhfovf
orðin	nhfog
,	pk
þar	aa
sem	c
sex	tfvfn
útgáfur	nvfn
,	pk
eða	c
allar	fovfn
nema	c
ein	tfven
,	pk
hafa	sfg3fn
litið	sþghen
dagsins	nkeeg
ljós	nheo
á	aa
innan	aa
við	af
níu	tfkfþ
mánuðum	nkfþ
.	pl

Nýja	lvenvf
Megane	n----s
línan	nveng
fékk	sfg3eþ
jafnframt	aa
sannkallaða	lveosf
óskabyrjun	nveo
þegar	c
stuttbakurinn	nkeng
,	pk
sem	ct
kom	sfg3eþ
fyrstur	lkense
á	af
markað	nkeo
,	pk
var	sfg3eþ
útnefndur	sþgken
bíll	nken
ársins	nheeg
2003	ta
í	af
Evrópu	nveþ-s
og	c
hlaut	sfg3eþ
svo	aa
skömmu	lheþsf
síðar	aam
5	ta
stjörnur	nvfo
eða	c
hæstu	lveove
einkunn	nveo
í	af
öryggisprófunum	nvfþ
EuroNCAP	n----s
.	pl

Sex	tfvfn
útgáfur	nvfn
af	af
Megane	n----s
II	ta
Með	af
stuttbaknum	nkeþg
kvað	sfg3eþ
við	aa
nokkuð	fohen
nýjan	lkeosf
tón	nkeo
í	af
útlitshönnun	nveþ
,	pk
en	c
sér	fpkeþ
í	af
lagi	nheþ
sker	sfg3en
afturhluti	nken
bílsins	nkeeg
sig	fpkeo
nokkuð	fohen
úr	aa
.	pl

Samhliða	af
stuttbaknum	nkeþg
,	pk
sem	ct
hefur	sfg3en
verið	sþghen
kynntur	sþgken
hér	aa
á	af
landi	nheþ
einfaldlega	aa
sem	c
nýr	lkensf
Renault	n----s
Megane	n----s
,	pk
setti	sfg3eþ
Renault	n----s
á	af
markað	nkeo
3ja	ta
dyra	nvfe
sportútgáfu	nveo
.	pl

Í	af
sumar	nheo
hefur	sfg3en
síðan	aa
hver	foven
útgáfan	nveng
rekið	sþghen
aðra	foveo
.	pl

Fyrst	aae
kom	sfg3eþ
nýr	lkensf
Megane	n----s
II	ta
Scenic	n----s
,	pk
fjölnota	lvenof
útgáfa	nven
eða	c
MPV	e
,	pk
sem	ct
bílablað	nhen
Morgunblaðsins	nheegs
fjallaði	sfg3eþ
ítarlega	aa
um	aa
nýlega	aa
.	pl

Þá	aa
standa	sfg3fn
kynningar	nvfn
yfir	aa
á	af
fjögurra	tfvfe
dyra	nvfe
stallbaksútgáfu	nveþ
og	c
Megane	n----s
II	ta
langbak	nkeþ
,	pk
en	c
rúsínan	nveng
í	af
pylsuendanum	nkeþg
er	sfg3en
Coupé-Cabriolet	e
sportbíllinn	nkeng
,	pk
sem	ct
státar	sfg3en
af	af
alveg	aa
nýrri	lveþsf
og	c
athyglisverðri	lveþsf
gerð	nveþ
af	af
eins	fokee
konar	nkee
glerblæju	nveþ
,	pk
þ.e.	ks
glerþaki	nheþ
sem	ct
er	sfg3en
samanfellanlegt	lhensf
,	pk
líkt	aa
hefðbundin	lvensf
blæja	nven
.	pl

4	ta
mm	ks
þykk	lvensf
glerblæja	nven
Coupé-Cabriolet	e
sameinar	sfg3en
eins	aa
og	c
nafngiftin	nveng
gefur	sfg3en
til	af
kynna	nhfe
kosti	nkfo
fólksbíls	nkee
og	c
sportbíls	nkee
.	pl

Bíllinn	nkeng
er	sfg3en
fjögurra	tfhfe
sæta	nhfe
,	pk
með	af
mikið	lheosf
farangursrými	nheo
miðað	sþghen
við	af
sinn	fekeo
flokk	nkeo
eða	c
490	ta
lítra	nkfo
sem	ct
er	sfg3en
300	ta
lítra	nkfe
stærra	lhenvm
skott	nhen
en	c
á	af
hefðbundnum	lkfþsf
blæjubílum	nkfþ
.	pl

Í	af
glerblæjunni	nveþg
er	sfg3en
4	ta
mm	ks
þykkt	lhensf
Venus	n----s
35	ta
gler	nhen
en	c
sjálfvirkar	lvfnsf
vökvadælur	nvfn
sjá	sfg3fn
um	af
að	cn
leggja	sng
hana	fpveo
saman	aa
í	af
þar	aa
til	aa
gert	lheosf
hólf	nheo
í	af
afturhluta	nkeþ
bílsins	nkeeg
á	af
22	ta
sekúndum	nvfþ
.	pl

Þessi	faven
óvenjulega	lvenvf
blæja	nven
veitir	sfg3en
jafnframt	aa
betri	lveovm
hljóðeinangrun	nveo
gagnvart	af
t.a.m.	ks
vindhljóðum	nhfþ
en	c
hefðbundnar	lvfnsf
taugerðir	nvfn
og	c
mun	nkeþ
betri	lveovm
einangrun	nveo
gegn	af
kulda	nkeþ
.	pl

Blæjubúnaðurinn	nkeng
vegur	sfg3en
samtals	aa
um	aa
75	ta
kg	ks
en	c
þar	aa
af	aa
er	sfg3en
sjálf	fbven
glerblæjan	nveng
15	ta
kg	ks
.	pl

Væntanlegir	lkfnsf
fyrir	af
áramót	nhfo
Samkvæmt	af
upplýsingum	nvfþ
frá	af
B	n-eþ-s
&	c
L	n-eþ-s
,	pk
umboðsaðila	nkeþ
Renault	n----s
,	pk
er	sfg3en
vonast	sþmhen
til	af
að	cn
koma	sng
megi	svg3en
Scenic	e
,	pk
4	ta
dyra	nvfe
Saloon	e
og	c
langbaknum	nkeþg
úr	af
nýju	lheþsf
Megane	n----s
II	ta
línunni	nveþg
á	af
markað	nkeo
fyrir	af
næstu	lhfove
áramót	nhfo
.	pl

Jafnframt	aa
hlökkum	sfg1fn
við	fp1fn
til	af
að	cn
fá	sng
Coupé-Capriolet	e
sportbílinn	nkeog
,	pk
en	c
margt	lhensf
bendir	sfg3en
til	af
þess	fphee
að	c
hér	aa
sé	svg3en
loksins	aa
komin	sþgven
sportbílaútfærsla	nven
sem	ct
falli	svg3en
vel	aa
að	af
okkar	fp1fe
veðuraðstæðum	nvfþ
.	pl

Í	af
Megane	n----s
II	ta
línunni	nveþg
er	sfg3en
m.a.	ks
nýtt	lhensf
rafstýri	nhen
,	pk
nýtt	lhensf
fjöðrunarkerfi	nhen
,	pk
nýtt	lhensf
bremsukerfi	nhen
,	pk
ABS	e
hemlar	nkfn
og	c
EBA	e
neyðarhemlar	nkfn
.	pl

Af	af
öðrum	fokeþ
búnaði	nkeþ
má	sfg3en
nefna	sng
ESP	n----s
stöðugleikastýri	nheo
,	pk
loftþrýstiskynjara	nkfo
í	af
dekkjum	nhfþ
og	c
handfrjálst	lheosf
lykilkort	nheo
,	pk
en	c
mismunandi	lhenof
verður	sfg3en
eftir	af
útgáfu	nveþ
hvort	c
þar	aa
verður	sfg3en
um	af
staðalbúnað	nkeo
eða	c
aukabúnað	nkeo
að	cn
ræða	sng
,	pk
segir	sfg3en
Helga	nven-s
Guðrún	nven-s
Jónasdóttir	nven-s
,	pk
kynningarstjóri	nken
B	n-ee-s
&	c
L	n-ee-s

BMW	n----s
330xi	ta
-	pa
tamið	lhensf
villidýr	nhen
:	pa
MEÐ	af
stöðugt	aa
meiri	lveþvm
tækni	nveþ
og	c
meiri	lkeþvm
búnaði	nkeþ
hafa	sfg3fn
Bimmar	nkfn-s
nútímans	nkeeg
verið	sþghen
að	cn
þyngjast	snm
og	c
minnstu	lvfnve
vélargerðirnar	nvfng
tæpast	aae
haldið	sþghen
í	aa
við	af
þyngdaraukninguna	nveog
.	pl

En	c
BMW	n----s
hefur	sfg3en
vissulega	aa
á	af
sama	fbkeþ
tíma	nkeþ
sent	sþghen
frá	af
sér	fpkeþ
athyglisverðar	lvfosf
dísilvélar	nvfo
og	c
stærri	lvfovm
bensínvélar	nvfo
sem	ct
gleðja	sfg3fn
hvern	fokeo
bílaáhugamann	nkeo
.	pl

Ein	tfven
af	af
þessum	favfþ
vélum	nvfþ
er	sfg3en
3ja	ta
lítra	nkfe
línusexan	nveng
sem	ct
er	sfg3en
að	cn
finna	sng
í	af
fjórhjóladrifsútgáfunni	nveþg
af	af
330xi	ta
.	pl

Við	fp1fn
fengum	sfg1fþ
afnot	nhfo
af	af
330xi	ta
í	af
nokkra	fokfo
daga	nkfo
sem	ct
liðu	sfg3fþ
allt	fohen
of	aa
fljótt	aa
.	pl

Afl	nhen
til	af
allra	fohfe
hjóla	nhfe
Þessi	faven
sex	tfkfe
strokka	nkfe
vél	nven
skilar	sfg3en
feiknamiklu	lheþsf
afli	nheþ
til	af
allra	fohfe
hjólanna	nhfeg
,	pk
alls	fohee
231	ta
hestafli	nheþ
,	pk
og	c
togar	sfg3en
eins	aa
og	c
meðaljeppi	nken
eða	c
að	af
hámarki	nheþ
300	ta
Nm	ks
við	af
3.500	ta
snúninga	nkfo
á	af
mínútu	nveþ
.	pl

Af	af
þessum	favfþ
tölum	nvfþ
má	sfg3en
ráða	sng
að	c
hér	aa
er	sfg3en
um	af
virkilegt	lheosf
villidýr	nheo
að	cn
ræða	sng
-	pa
en	c
athugið	sbg2fn
,	pk
þetta	fahen
villidýr	nhen
er	sfg3en
tamið	sþghen
með	af
nýjustu	lveþve
tækni	nveþ
úr	af
hillum	nvfþ
BMW	n----s
.	pl

Upptakið	nheng
er	sfg3en
skemmtilega	aa
kröftugt	lhensf
og	c
fer	sfg3en
bíllinn	nkeng
fyrstu	lkfove
100	ta
metrana	nkfog
úr	af
kyrrstöðu	nveþ
á	af
innan	aa
við	aa
sjö	tfvfþ
sekúndum	nvfþ
eða	c
nær	afm
6,5	ta
sekúndum	nvfþ
.	pl

Þetta	fahen
gerist	sfm3en
þó	aa
á	af
afar	aa
yfirvegaðan	lkeosf
og	c
fágaðan	lkeosf
máta	nkeo
því	fpheþ
aflinu	nheþg
er	sfg3en
dreift	sþghen
í	af
hlutföllunum	nhfþg
38	ta
til	af
framhjólanna	nhfeg
og	c
62	ta
til	af
afturhjólanna	nhfeg
.	pl

Porsche	n----s
fór	sfg3eþ
sömu	fbveo
leið	nveo
með	af
sitt	feheo
drifkerfi	nheo
í	af
Cayenne	n----s
því	fpheþ
þessi	faven
afldreifing	nven
gefur	sfg3en
kost	nkeo
á	af
sportlegri	lkeþvm
akstri	nkeþ
en	c
ef	c
um	af
alveg	aa
jafna	lveosf
dreifingu	nveo
væri	svg3eþ
að	cn
ræða	sng
.	pl

Hún	fpven
gefur	sfg3en
líka	aa
færi	nheo
á	af
undirstýringu	nveþ
þegar	c
við	aa
á	sfg3en
og	c
þegar	c
DSC-kerfið	nhengs
er	sfg3en
aftengt	sþghen
.	pl

Engu	foheþ
að	aa
síður	aam
er	sfg3en
bíllinn	nkeng
í	af
venjulegum	lkeþsf
akstri	nkeþ
með	af
tilþrifamikið	lheosf
veggrip	nheo
sem	ct
kemur	sfg3en
ekki	aa
síst	aae
í	af
ljós	nheo
þegar	c
honum	fpkeþ
er	sfg3en
ekið	sþghen
á	af
malarvegi	nkeþ
.	pl

Frábær	lvensf
sjálfskipting	nven
Annar	foken
skemmtilegur	lkensf
eiginleiki	nken
þessarar	favee
vélar	nvee
er	sfg3en
góð	lvensf
millihröðun	nven
sem	ct
gerir	sfg3en
bílinn	nkeog
að	af
ákjósanlegum	lkeþsf
kosti	nkeþ
í	af
þjóðvegaakstri	nkeþ
þar	aa
sem	c
skjótast	snm
þarf	sfg3en
fram	aa
úr	af
bílalestum	nvfþ
á	af
sem	aa
stystum	lkeþse
tíma	nkeþ
.	pl

Urrandi	lhenof
hljóðið	nheng
frá	af
vélinni	nveþg
,	pk
þegar	c
henni	fpveþ
er	sfg3en
gefið	sþghen
inn	aa
,	pk
er	sfg3en
síðan	aa
enn	aa
einn	foken
gleðigjafinn	nkeng
.	pl

Við	af
vélina	nveog
er	sfg3en
tengdur	lkensf
fimm	tfhfe
þrepa	nhfe
sjálfskiptur	lkensf
gírkassi	nken
og	c
hann	fpken
er	sfg3en
með	af
handskiptivali	nheþ
eins	aa
og	c
útbreitt	sþghen
er	sfg3en
orðið	sþghen
í	af
mörgum	lkfþsf
bílum	nkfþ
.	pl

Þar	aa
fyrir	aa
utan	aa
er	sfg3en
hann	fpken
með	af
sportstillingu	nveo
í	af
sjálfskiptingunni	nveþg
sem	ct
svínvirkar	sfg3en
og	c
leyfir	sfg3en
ökumanni	nkeþ
að	cn
þenja	sng
bílinn	nkeog
mun	nkeþ
meira	aam
en	c
ella	aa
.	pl

DSC-kerfið	nhengs
,	pk
sem	ct
er	sfg3en
af	af
þriðju	lveþvf
kynslóð	nveþ
,	pk
er	sfg3en
í	aa
senn	aa
spólvörn	nven
og	c
stöðugleikastýring	nven
.	pl

Með	af
það	fpheo
tengt	lheosf
tekur	sfg3en
tölvubúnaður	nken
völdin	nhfog
af	af
ökumanni	nkeþ
