Málverkafölsunarmálið	nheng
15.	ta
september	nkeo
.	pl

Siv	nven-s
Friðleifsdóttir	nven-s
,	pk
umhverfisráðherra	nken
(	pa
B	x
)	pa
:	pa
«	pg
Ég	fp1en
,	pk
eins	aa
og	c
ég	fp1en
segi	sfg1en
þá	aa
dró	sfg1eþ
ég	fp1en
bara	aa
fram	aa
þetta	faheo
góða	lheovf
starf	nheo
sem	ct
að	aa
hefur	sfg3en
verið	sþghen
unnið	sþghen
í	af
flokknum	nkeþg
á	af
sviði	nheþ
jafnréttismála	nhfe
og	c
það	fphen
er	sfg3en
alveg	aa
ljóst	lhensf
að	c
það	fphen
voru	sfg3fþ
þrjár	tfvfn
konur	nvfn
sem	ct
að	c
leiddu	sfg3fþ
lista	nkfo
í	af
síðustu	lvfþve
kosningum	nvfþ
og	c
það	fphen
var	sfg3eþ
talsvert	aa
litið	sþghen
til	af
þess	fphee
og	c
mjög	aa
ánægjulegt	lhensf
.	pl

Og	c
það	fphen
er	sfg3en
alveg	aa
ljóst	lhensf
að	c
konur	nvfn
í	af
flokknum	nkeþg
,	pk
þær	fpvfn
halda	sfg3fn
þessu	faheþ
til	af
haga	nkee
meðal	af
annars	fohee
í	af
ályktunardrögunum	nhfþg
sem	ct
að	c
hér	aa
eru	sfg3fn
til	af
umfjöllunar	nvee
.	pl

Þannig	aa
að	c
það	fphen
er	sfg3en
mjög	aa
ánægjulegt	lhensf
hvað	fshen
þetta	fahen
starf	nhen
hefur	sfg3en
verið	sþghen
öflugt	lhensf
hjá	af
okkur	fp1fþ
konunum	nvfþg
í	af
flokknum	nkeþg
.	pl
»	pg

Guðni	nken-s
Ágústsson	nken-s
,	pk
varaformaður	nken
Framsóknarflokks	nkee-s
telur	sfg3en
eðlilegt	lheosf
að	cn
nýta	sng
kynjakvóta	nkeo
um	af
sinn	nheo
í	af
það	faheo
minnsta	lheove
.	pl

Svanur	nken-s
Kristjánsson	nken-s
,	pk
prófessor	nken
í	af
stjórnmálafræði	nveþ
tók	sfg3eþ
til	af
máls	nhee
á	af
málþinginu	nheþg
.	pl

Hann	fpken
segir	sfg3en
að	c
Framsóknarflokkurinn	nkengs
færi	svg3eþ
gegn	af
eigin	lvfþof
samþykktum	nvfþ
ef	c
konum	nvfþ
yrði	svg3eþ
fækkað	sþghen
í	af
ráðherrastólum	nkfþ
með	af
haustinu	nheþg
.	pl

Svanur	nken-s
Kristjánsson	nken-s
,	pk
prófessor	nken
í	af
stjórnmálafræði	nveþ
:	pa
«	pg
Ef	c
að	c
Siv	nven-s
Friðleifsdóttir	nven-s
yrði	svg3eþ
ekki	aa
lengur	aam
ráðherra	nken
og	c
engin	foven
kona	nven
kæmi	svg3eþ
í	af
staðinn	nkeog
að	c
þá	aa
væri	svg3eþ
bara	aa
ein	tfven
kona	nven
sem	ct
að	aa
væri	svg3eþ
ráðherra	nken
,	pk
sem	ct
sagt	sþghen
ein	tfven
kona	nven
af	af
5	ta
ráðherrum	nkfþ
eða	c
20%	tp
,	pk
þannig	aa
að	c
það	fphen
væri	svg3eþ
mikið	lhensf
bakslag	nhen
fyrir	af
jafnréttisbaráttuna	nveog
í	af
landinu	nheþg
.	pl

Það	fphen
væri	svg3eþ
mikið	lhensf
bakslag	nhen
fyrir	af
Framsóknarflokkinn	nkeogs
og	c
reyndar	aa
væri	svg3eþ
bara	aa
yfirlýsing	nven
um	af
það	fpheo
að	c
flokkurinn	nkeng
tæki	svg3eþ
ekki	aa
neitt	foheo
mark	nheo
á	af
sínum	fevfþ
eigin	lvfþof
jafnréttisáætlunum	nvfþ
og	c
tæki	svg3eþ
heldur	aam
ekki	aa
neitt	foheo
mark	nheo
á	af
því	faheþ
sem	ct
flokkurinn	nkeng
hefur	sfg3en
bundið	sþghen
í	af
lög	nhfo
.	pl
»	pg

Lífeyrissjóðalán	nhfn

Landssamtök	nhfn-s
lífeyrissjóða	nkfe
telja	sfg3fn
að	c
íslenskir	lkfnsf
bankar	nkfn
stundi	svg3fn
látlausan	lkeosf
áróður	nkeo
til	af
að	cn
sölsa	sng
undir	af
sig	fpkfo
alla	foveo
lánastarfsemi	nveo
í	af
landinu	nheþg
.	pl

Að	af
mati	nheþ
forsvarsmanna	nkfe
lífeyrissjóðanna	nkfeg
er	sfg3en
það	fphen
ástæðan	nveng
fyrir	af
því	fpheþ
að	c
Samtök	nhfn-s
banka	nkfe
og	c
verðbréfafyrirtækja	nhfe
fóru	sfg3fþ
fram	aa
á	af
það	fpheo
við	af
fjármálaráðherra	nkeo
að	c
lokað	sþghen
yrði	svg3eþ
á	af
heimildir	nvfo
sjóðanna	nkfeg
til	af
útlánastarfsemi	nvee
eða	c
þeim	fpkfþ
skorinn	sþgken
mun	nkeþ
þrengri	lkenvm
stakkur	nken
.	pl

Mikill	lkensf
vöxtur	nken
hefur	sfg3en
verið	sþghen
í	af
útlánum	nhfþ
lífeyrissjóða	nkfe
til	af
einstaklinga	nkfe
og	c
nema	c
þau	fphfn
nú	aa
rúmum	lkfþsf
90	ta
milljörðum	nkfþ
króna	nvfe
.	pl

Hrafn	nken-s
Magnússon	nken-s
,	pk
framkvæmastjóri	nken
Landssamtaka	nhfe-s
lífeyrissjóða	nkfe
segir	sfg3en
að	c
sjóðirnir	nkfng
sitji	svg3fn
ekki	aa
einir	lkfnsf
undir	af
árásum	nvfþ
bankanna	nkfeg
því	fpheþ
þeir	fpkfn
hamist	svm3fn
einnig	aa
á	af
starfsemi	nveþ
Íbúðalánasjóðs	nkee-s
.	pl

Landsmenn	nkfn
hljóti	svg3fn
því	aa
að	cn
sjá	sng
í	aa
gegnum	af
látlausan	lkeosf
áróður	nkeo
bankanna	nkfeg
sem	ct
vilji	svg3fn
sölsa	sng
undir	af
sig	fpkfo
alla	foveo
lánastarfsemi	nveo
í	af
landinu	nheþg
.	pl

Hrafn	nken-s
Magnússon	nken-s
,	pk
framkvæmdastjóri	nken
Landssamtaka	nhfe-s
lífeyrissjóða	nkfe
:	pa
«	pg
Við	fp1fn
mótmælum	sfg1fn
því	fpheþ
harðlega	aa
.	pl

Við	fp1fn
teljum	sfg1fn
að	c
það	fphen
sé	svg3en
í	af
raun	nveþ
og	c
veru	nveþ
áratuga	nkfe
hefð	nven
bæði	c
hér	aa
og	c
víða	aa
erlendis	aa
að	cn
lána	sng
til	af
sjóðfélaganna	nkfeg
.	pl
»	pg

Samtök	nhfn-s
banka	nkfe
og	c
verðbréfafyrirtækja	nhfe
hafa	sfg3fn
bent	sþghen
á	af
að	c
á	af
Norðurlöndum	nhfþ-s
tíðkist	svm3en
ekki	aa
að	c
lífeyrissjóðir	nkfn
standi	svg3fn
í	af
lánveitingum	nvfþ
til	af
sjóðfélaga	nkfe
sinna	fekfe
.	pl

Hrafn	nken-s
segir	sfg3en
að	c
það	fphen
sé	svg3en
vegna	af
lítillar	lveesf
sjóðsöfnunar	nvee
lífeyrissjóðanna	nkfeg
þar	aa
.	pl

Hrafn	nken-s
segir	sfg3en
hins	fakee
vegar	nkee
að	c
slík	fbhfn
lán	nhfn
þekkist	svm3en
í	af
Bandaríkjunum	nhfþgs
og	c
fleiri	lhfþvm
löndum	nhfþ
.	pl

Hrafn	nken-s
Magnússon	nken-s
:	pa
«	pg
Ef	c
við	fp1fn
tökum	sfg1fn
til	af
dæmis	nhee
land	nheo
eins	aa
og	c
Sviss	nheo-s
þar	aa
sem	c
að	c
lífeyrissparnaðurinn	nkeng
er	sfg3en
með	af
mesta	lheþve
móti	nheþ
.	pl

þeir	fpkfn
eru	sfg3fn
í	af
öðru	lheþsf
sæti	nheþ
.	pl

Hollendingar	nkfn-s
í	af
fyrsta	lheþve
sæti	nheþ
og	c
Íslendingar	nkfn-s
í	af
þriðja	lheþve
.	pl

Lífeyrissjóðirnir	nkfng
í	af
Sviss	nheþ-s
sem	ct
hafa	sfg3fn
áratuga	nkfe
hefð	nveo
,	pk
þeir	fpkfn
lána	sfg3fn
til	af
sjóðfélaganna	nkfeg
.	pl

Þannig	aa
að	c
þetta	fahen
er	sfg3en
engin	foven
nýlunda	nven
.	pl
»	pg

Þá	aa
gera	sfg3fn
bankarnir	nkfng
athugasemd	nveo
við	af
að	c
útlánastarfsemi	nven
lífeyrissjóðanna	nkfeg
skekki	svg3en
samkeppnisstöðu	nveo
á	af
þeim	fakeþ
markaði	nkeþ
þar	aa
sem	c
sjóðirnir	nkfng
séu	svg3fn
undanþegnir	lkfnsf
tekjuskattskyldu	nveþ
og	c
hafi	svg3fn
því	aa
aðgang	nkeo
að	af
ódýrara	lheþvm
fé	nheþ
en	c
bankarnir	nkfng
.	pl

Hrafn	nken-s
segir	sfg3en
hagræði	nheo
lífeyrissjóðanna	nkfeg
stafa	sng
af	af
öðrum	fokfþ
þáttum	nkfþ
.	pl

Hrafn	nken-s
Magnússon	nken-s
:	pa
«	pg
Og	c
sannleikurinn	nkeng
er	sfg3en
auðvitað	aa
sá	faken
að	c
sko	aa
kostnaður	nken
lífeyrissjóðanna	nkfeg
,	pk
hann	fpken
er	sfg3en
auðvitað	aa
bara	aa
brot	nhen
af	af
þeim	fakeþ
kostnaði	nkeþ
sem	ct
er	sfg3en
í	af
bönkunum	nkfþg
og	c
verður	sfg3en
það	fphen
alltaf	aa
.	pl

Lífeyrissjóðirnir	nkfng
eru	sfg3fn
reknir	sþgkfn
ekki	aa
í	af
samkeppnisumhverfi	nheþ
eins	aa
og	c
bankarnir	nkfng
,	pk
þannig	aa
að	c
þeir	fpkfn
eru	sfg3fn
auðvitað	aa
með	af
langtum	aa
minni	lkeovm
kostnað	nkeo
.	pl
»	pg

Ker	nhen-s
sýknað	sþghen
af	af
skaðabótakröfu	nveþ

Dómur	nken
féll	sfg3eþ
í	af
dag	nkeo
í	af
skaðabótamáli	nheþ
á	af
hendur	nvfo
Keri	nheþ-s
,	pk
fyrrverandi	lkeeof
eiganda	nkee
Olíufélagsins	nheegs
.	pl

Húsasmiður	nken
á	af
Húsavík	nveþ-s
hafði	sfg3eþ
farið	sþghen
fram	aa
á	af
tæpar	lvfosf
200	to
þúsund	tfvfo
krónur	nvfo
í	af
bætur	nvfo
vegna	af
samráðs	nhee
olíufélaganna	nhfeg
.	pl

2	ta
liðum	nkfþ
var	sfg3eþ
vísað	sþghen
frá	aa
,	pk
sýknað	sþghen
var	sfg3eþ
í	af
tveimur	tfvfþ
öðrum	fovfþ
kröfum	nvfþ
.	pl

Dóms	nkee
Héraðsdóms	nkee-s
Reykjavíkur	nvee-s
hefur	sfg3en
verið	sþghen
beðið	sþghen
með	af
óþreyju	nveþ
en	c
fleiri	lkfnvm
hafa	sfg3fn
hugsað	sþghen
sér	fpkfþ
að	cn
sækja	sng
álíka	lhfoof
mál	nhfo
gegn	af
olíufélögunum	nhfþg
.	pl

Fordæmið	nheng
var	sfg3eþ
gefið	sþghen
þegar	c
dómur	nken
féll	sfg3eþ
í	af
dag	nkeo
.	pl

Fjöslkipaður	lkensf
dómur	nken
Héraðsdsóms	nkee-s
,	pk
2	ta
héraðsdómarar	nkfn
og	c
einn	tfken
hagfræðingur	nken
kvað	sfg3eþ
í	af
dag	nkeo
upp	aa
dóminn	nkeog
.	pl

Mál	nhen
sem	ct
þetta	fahen
á	sfg3en
sér	fpheþ
engin	fohfo
fordæmi	nhfo
,	pk
hvorgi	x
hér	aa
á	af
landi	nheþ
né	c
annars	fokee
staðar	nkee
í	af
Evrópu	nveþ-s
.	pl

Sigurður	nken-s
Hreinsson	nken-s
,	pk
húsasmiður	nken
á	af
Húsavík	nveþ-s
,	pk
hafði	sfg3eþ
farið	sþghen
fram	aa
á	af
180	to
þúsund	tfvfo
krónur	nvfo
í	af
bætur	nvfo
fyrir	af
það	faheo
tjón	nheo
sem	ct
hann	fpken
taldi	sfg3eþ
sig	fpkeo
hafa	sng
orðið	sþghen
fyrir	aa
vegna	af
samráðs	nhee
olíufélaganna	nhfeg
.	pl

Lögmaður	nken
Sigurðar	nkee-s
segir	sfg3en
að	c
þó	aa
svo	aa
að	c
brattan	lkeosf
hafi	svg3en
verið	sþghen
að	cn
sækja	sng
sé	svg3en
niðurstaðan	nveng
vonbrigði	nhfn
.	pl

Steinar	nken-s
Þór	nken-s
Guðgeirsson	nken-s
,	pk
hæstaréttarlögmaður	nken
:	pa
«	pg
Ja	au
,	pk
næstu	lhfnve
skref	nhfn
er	sfg3en
í	af
sjálfu	fbheþ
sér	fpheþ
bara	aa
að	cn
skoða	sng
dóminn	nkeog
ítarlega	aa
,	pk
ég	fp1en
nú	aa
rétt	aa
búin	lvensf
að	cn
renna	sng
yfir	af
hann	fpkeo
bara	aa
og	c
svo	aa
sest	sfm1en
ég	fp1en
niður	aa
með	af
mínum	fekeþ
umbjóðenda	nkeþ
og	c
förum	sfg1fn
yfir	af
það	fpheo
.	pl

Ég	fp1en
svona	aa
bíst	sfm1en
fastlega	aa
við	af
því	fpheþ
að	af
þessu	faheþ
verður	sfg3en
áfrýjað	sþghen
til	af
hæstaréttar	nkee
.	pl
»	pg

Niðurstaða	nven
dómsins	nkeeg
var	sfg3eþ
sú	faven
að	c
verulega	aa
hefði	svg3eþ
skort	sþghen
á	af
að	c
gögn	nhfn
sem	ct
sönnuðu	svg3fþ
tjónið	nheog
hefðu	svg3fþ
verið	sþghen
lögð	sþghfn
fram	aa
.	pl

Steinar	nken-s
Þór	nken-s
Guðgeirsson	nken-s
:	pa
«	pg
Það	fphen
lág	x
auðvitað	aa
fyrir	aa
að	c
sönnunarbyrðin	nveng
er	sfg3en
auðvitað	aa
gríðarlega	aa
erfið	lvensf
,	pk
kannski	aa
einu	lkfnvf
aðilarnir	nkfng
sem	ct
vita	sfg3fn
nákvæmlega	aa
hvernig	aa
þetta	fahen
liggur	sfg3en
eru	sfg3fn
olíufélögin	nhfng
sjálf	fbhfn
.	pl
»	pg

Lögmaður	nken
Kers	n----s
var	sfg3eþ
að	af
vonum	nvfþ
ánægður	lkensf
en	c
varaði	sfg3eþ
þó	aa
við	af
að	c
ályktanir	nvfn
væru	svg3fþ
dregnar	sþgvfn
af	af
dómnum	nkeþg
þar	aa
sem	c
aðeins	aa
væri	svg3eþ
um	af
að	cn
ræða	sng
mál	nheo
í	af
Héraði	nheþ-s
.	pl

Oddgeir	nken-s
Einarsson	nken-s
,	pk
héraðsdómslögmaður	nken
:	pa
«	pg
Óskaniðurstaðan	nveng
hefði	svg3eþ
náttúrulega	aa
verið	sþghen
bara	aa
sýknað	sþghen
að	af
öllu	foheþ
leyti	nheþ
,	pk
það	fphen
var	sfg3eþ
þarna	aa
vísað	sþghen
frá	aa
2	ta
kröfum	nvfþ
af	af
nokkrum	fovfþ
en	c
þetta	fahen
er	sfg3en
hins	fakee
vegar	nkee
alls	fohee
ekki	aa
slæm	lvensf
niðurstaða	nven
,	pk
ég	fp1en
get	sfg1en
alveg	aa
staðfest	sþghen
það	fpheo
.	pl
»	pg

Fjárlög	nhfn
2007	ta
samþykkt	sþghfn

Fjárlög	nhfn
næsta	lheeve
árs	nhee
voru	sfg3fþ
samþykkt	sþghfn
á	af
Alþingi	nheþ-s
í	af
morgun	nkeo
með	af
34	ta
atkvæðum	nhfþ
meirihlutans	nkeeg
en	c
26	ta
sátu	sfg3fþ
hjá	aa
.	pl

Kosningafjárlög	nhfo
sagði	sfg3eþ
stjórnarandstaðan	nveng
og	c
ljóst	lhensf
að	c
erindi	nheþ
þessara	x
ríkisstjórnar	nvee
er	sfg3en
lokið	sþghen
.	pl

Fjármálaráðherra	nken
segir	sfg3en
þau	fphfo
til	af
merkis	nhee
um	af
mikið	lheosf
hagvaxtarskeið	nheo
enda	c
afgangurinn	nkeng
um	aa
9	ta
milljarðar	nkfn
króna	nvfe
.	pl

Jóhanna	nven-s
Vigdís	nven-s
Hjaltadóttir	nven-s
er	sfg3en
á	af
Alþingi	nheþ-s
,	pk
síðasta	lvenve
umræðan	nveng
um	af
fjárlögin	nhfog
stóðu	sfg3fþ
í	af
tæpar	lvfosf
13	ta
klukkustundir	nvfo
í	aa
gær	aa
.	pl

Páll	nken-s
Benediktsson	nken-s
:	pa
«	pg
Jóhanna	nven-s
,	pk
er	sfg3en
eitthvað	fohen
nýtt	lhensf
að	cn
frétta	sng
?	pl
»	pg

Jóhanna	nven-s
Vigdís	nven-s
Hjaltadóttir	nven-s
:	pa
«	pg
Nei	au
það	fphen
er	sfg3en
varla	aa
hægt	lhensf
að	cn
segja	sng
það	fpheo
,	pk
Páll	nken-s
,	pk
en	c
menn	nkfn
töluðu	sfg3fþ
hins	fakee
vegar	nkee
lengi	aa
.	pl

Metið	nheog
átti	sfg3eþ
Kristján	nken-s
L.	ks
Möller	nken-s
,	pk
Samfylkingunni	nveþgs
en	c
hann	fpken
talaði	sfg3eþ
í	af
80	ta
mínútur	nvfo
og	c
næstur	lkense
kom	sfg3eþ
Guðjón	nken-s
Ólafur	nken-s
Jónsson	nken-s
,	pk
Framsóknarflokki	nkeþ-s
sem	ct
talaði	sfg3eþ
í	af
75	ta
mínútur	nvfo
.	pl

En	c
við	fp1fn
skulum	sfg1fn
líta	sng
núna	aa
á	af
lokaatkvæðagreiðslurnar	nvfog
í	af
morgun	nkeo
.	pl
»	pg

Árni	nken-s
M.	ks
Mathiesen	nken-s
,	pk
fjármálaráðherra	nken
:	pa
«	pg
Þetta	fahen
frumvarp	nhen
markast	sfm3en
að	af
sjálfsögðu	lheþsf
að	af
verulegu	lheþsf
leyti	nheþ
að	af
því	faheþ
mikla	lheþvf
hagvaxtarskeiði	nheþ
sem	ct
við	fp1fn
höfum	sfg1fn
lifað	sþghen
á	af
síðustu	lhfþve
árum	nhfþ
.	pl

Og	c
vegna	af
þess	fphee
að	c
ég	fp1en
treysti	sfg1en
mér	fp1eþ
til	af
þess	fphee
að	cn
bera	sng
ábyrgð	nveo
á	af
þessu	faheþ
frumvarpi	nheþ
þó	aa
að	c
stjórnarandstaðan	nveng
treystir	sfg3en
sér	fpveþ
ekki	aa
til	af
að	cn
bera	sng
ábyrgð	nveo
á	af
neinu	foheþ
sem	ct
hér	aa
fer	sfg3en
fram	aa
þá	aa
segi	sfg1en
ég	fp1en
já	au
.	pl
»	pg

Ingibjörg	nven-s
Sólrún	nven-s
Gísladóttir	nven-s
,	pk
alþingismaður	nken
:	pa
«	pg
Þetta	fahen
eru	sfg3fn
kosningafjárlög	nhfn
,	pk
því	fpheþ
að	c
ríkisstjórnin	nveng
rær	sfg3en
nú	aa
lífróður	nkeo
.	pl

Erindi	nheþ
hennar	fpvee
er	sfg3en
lokið	sþghen
.	pl

Hún	fpven
er	sfg3en
,	pk
þreki	nheþ
hennar	fpvee
er	sfg3en
lokið	sþghen
og	c
það	fphen
mun	sfg3en
að	af
sjálfsögðu	lheþsf
vera	sng
skipt	sþghen
um	af
ríkisstjórn	nveo
hér	aa
í	af
kosningum	nvfþ
í	af
vor	nheo
.	pl
»	pg

Steingrímur	nken-s
J.	ks
Sigfússon	nken-s
,	pk
alþingismaður	nken
:	pa
«	pg
Þetta	fahen
fjárlagafrumvarp	nhen
sem	ct
kemur	sfg3en
nú	aa
til	af
lokaafgreiðslu	nvee
,	pk
frumvarp	nhen
hæstvirtar	lveesf
ríkisstjórnar	nvee
er	sfg3en
vonandi	aa
og	c
nokkuð	fohen
örugglega	aa
hennar	fpvee
síðasta	lhenve
.	pl

Það	fphen
ber	sfg3en
nokkur	fohfo
merki	nhfo
af	af
því	fpheþ
að	c
kosningar	nvfn
eru	sfg3fn
á	af
næsta	lheþve
ári	nheþ
.	pl
»	pg

Magnús	nken-s
Þór	nken-s
Hafsteinsson	nken-s
,	pk
alþingismaður	nken
:	pa
«	pg
Verði	svg3en
þeim	fpkfþ
að	af
góðu	lheþsf
,	pk
þeirra	fpkfe
er	sfg3en
skömmin	nveng
,	pk
þeir	fpkfn
sitja	sfg3fn
uppi	aa
með	af
hana	fpveo
,	pk
en	c
verði	svg3en
þeim	fpkfþ
að	af
góðu	lheþsf
.	pl
»	pg

Jóhanna	nven-s
:	pa
«	pg
Og	c
þarna	aa
talaði	sfg3eþ
Magnús	nken-s
Þór	nken-s
Hafsteinsson	nken-s
,	pk
þingflokksformaður	nken
Frjálslynda	lkeevf
flokksins	nkeeg
til	af
stjórnarmeirihlutans	nkeeg
og	c
átti	sfg3eþ
við	af
fjárlagafrumvarpið	nheog
sjálft	fbheo
.	pl

En	ct
er	sfg3en
óljóst	lhensf
hvenær	aa
þingstörfunum	nhfþg
líkur	sfg3en
.	pl

Þeim	fphfþ
átti	sfg3eþ
að	cn
ljúka	sng
samkvæmt	af
starfsáætlun	nveþ
á	af
föstudaginn	nkeog
en	c
það	fphen
er	sfg3en
alveg	aa
deginum	nkeþg
ljósara	lhenvm
að	c
svo	aa
verði	svg3en
ekki	aa
því	fpheþ
fyrir	aa
nú	aa
fyrir	af
stundu	nveþ
var	sfg3eþ
ákveðið	sþghen
að	c
önnur	lvensf
umræða	nven
um	af
frumvarp	nheo
ríkisstjórnarinnar	nveeg
um	af
Ríkisútvarpið	nheogs
ohf.	ks
,	pk
hún	fpven
verður	sfg3en
á	af
dagskrá	nveþ
Alþingis	nhee-s
klukkan	nveng
hálf	aa
ellefu	ta
í	af
fyrramálið	nheog
.	pl

Önnur	lvensf
umræða	nven
frumvarpa	nhfe
,	pk
við	af
hana	fpveo
þá	aa
er	sfg3en
ræðutími	nken
ótakmarkaður	lkensf
,	pk
þetta	fahen
segir	sfg3en
okkur	fp1fþ
það	fpheo
að	c
framundan	aa
er	sfg3en
um	x
umræða	nven
um	af
Ríkisútvarpið	nheogs
sennilega	aa
næstu	lkfove
sólarhringana	nkfog
,	pk
vegna	af
þess	fphee
að	c
heldur	aam
liggur	sfg3en
ekkert	fohen
fyrir	aa
neitt	fohen
samkomulag	nhen
milli	af
flokkanna	nkfeg
hér	aa
á	af
Alþingi	nheþ-s
um	af
þingstörfin	nhfog
framundan	aa
.	pl

En	c
þetta	fahen
skýrist	sfm3en
allavega	aa
allt	fohen
núna	aa
alveg	aa
á	af
næstunni	nveþg
.	pl

Þingfundur	nken
hefst	sfm3en
aftur	aa
hér	aa
á	af
Alþingi	nheþ-s
klukkan	nveng
átta	ta
í	af
kvöld	nheo
þar	aa
sem	c
fjallað	sþghen
verður	sfg3en
um	af
skattalækkunarfrumvarp	nheo
ríkisstjórnarinnar	nveeg
og	c
síðan	aa
er	sfg3en
það	fphen
Ríkisútvarpið	nhengs
ohf.	ks
klukkan	nveng
hálf	aa
ellefu	ta
í	af
fyrramálið	nheog
en	c
við	fp1fn
ætlum	sfg1fn
að	cn
segja	sng
gott	lheosf
héðan	aa
frá	af
Alþingi	nheþ-s
í	af
bili	nheþ
.	pl
»	pg

Baugsmál	nhen-s
-	pa
frestun	nven
vegna	af
ákæru	nvee
úrskurðar	nkee

Fresta	sng
þurfti	sfg3eþ
málflutningi	nkeþ
í	af
máli	nheþ
Jóns	nkee-s
Ásgeirs	nkee-s
Jóhannessonar	nkee-s
og	c
fleiri	lkfevm
gegn	af
yfirmönnum	nkfþ
efnahagsbrotadeildar	nvee
í	af
Héraðsdómi	nkeþ-s
í	af
morgun	nkeo
þegar	c
úrskurður	nken
dómara	nkee
var	sfg3eþ
kærður	sþgken
til	af
Hæstaréttar	nkee-s
.	pl

Í	af
sjálfu	fbheþ
Baugsmálinu	nheþgs
lögðu	sfg3fþ
verjendur	nkfn
fram	aa
um	af
það	faheo
bil	nheo
100	ta
nafna	nhfe
vitnalista	nkeo
.	pl

Máls	x
Jóns	nkee-s
Ásgeirs	nkee-s
og	c
4	ta
annarra	fokfe
snýst	sfm3en
um	af
rannsókn	nveo
á	af
meintum	lhfþsf
skattalagabrotum	nhfþ
þeirra	fpkfe
en	c
fimmmenningarnir	nkfng
telja	sfg3fn
yfirmenn	nkfo
efnahagsbrotadeildar	nvee
vanhæfa	lkfosf
til	af
að	cn
rannsaka	sng
málið	nheog
.	pl

Ef	c
fólki	nheþ
fannst	sfm3eþ
Baugsmálið	nhengs
flókið	lhensf
fyrir	aa
þá	aa
er	sfg3en
ekki	aa
hægt	lhensf
að	cn
segja	sng
að	c
það	fphen
hafi	svg3en
einfaldast	sþmhen
í	af
dag	nkeo
.	pl

Í	af
morgun	nkeo
úrskurðaði	sfg3eþ
dómari	nken
að	c
Jón	nken-s
H.	ks
B.	ks
Snorrason	nken-s
og	c
Haraldur	nken-s
Johannessen	nken-s
,	pk
ríkislögreglustjóri	nken
,	pk
þyrftu	svg3fþ
ekki	aa
að	cn
bera	sng
vitni	nheo
fyrir	af
dómi	nkeþ
en	c
verjendur	nkfn
sakborninga	nkfe
kærðu	sfg3fþ
þann	fakeo
úrskurð	nkeo
til	af
Hæstaréttar	nkee-s
.	pl

En	c
hvers	fshee
vegna	af
telja	sfg3fn
verjendur	nkfn
það	fpheo
svo	aa
mikilvægt	lheosf
að	c
þessir	fakfn
menn	nkfn
gefi	svg3fn
skýrslu	nveo
fyrir	af
dómi	nkeþ
.	pl

Þórunn	nven-s
Guðmundsdóttir	nven-s
,	pk
hæstaréttarlögmaður	nken
:	pa
«	pg
Vegna	af
þess	fphee
að	c
það	fphen
þarf	sfg3en
að	cn
vera	sng
algerlega	aa
hafið	sþghen
yfir	af
allan	fokeo
vafa	nkeo
að	c
þeir	fakfn
sem	ct
eru	sfg3fn
að	cn
rannsaka	sng
þetta	faheo
mál	nheo
séu	svg3fn
ekki	aa
fyrirfram	aa
búin	x
að	cn
mynda	sng
sér	fpkfþ
þá	faveo
skoðun	nveo
að	c
skjólstæðingar	nkfn
okkar	fp1fe
séu	svg3fn
sekir	lkfnsf
.	pl
»	pg

Ummæli	nhfn
í	af
fjölmiðlum	nkfþ
bendir	sfg3en
til	af
þess	fphee
.	pl

Þórunn	nven-s
gefur	sfg3en
lítið	lheosf
fyrir	af
þá	faveo
skýringu	nveo
að	c
rangt	lhensf
hafi	svg3en
verið	sþghen
haft	sþghen
eftir	af
þessum	fakfþ
mönnum	nkfþ
í	af
fjölmiðlum	nkfþ
.	pl

Þórunn	nven-s
Guðmundsdóttir	nven-s
:	pa
«	pg
Þeir	fpkfn
sáu	sfg3fþ
enga	foveo
ástæðu	nveo
til	aa
leiðrétta	sng
á	af
sínum	fekeþ
tíma	nkeþ
.	pl

Það	fphen
er	sfg3en
bara	aa
núna	aa
þegar	c
þetta	fahen
er	sfg3en
orðið	sþghen
,	pk
varðar	sfg3en
okkar	fp1fe
skjólstæðinga	nkfo
miklu	lheþsf
að	aa
þá	aa
halda	sfg3fn
þeir	fpkfn
því	fpheþ
fram	aa
að	c
þetta	fahen
sé	svg3en
rangt	lhensf
eftir	af
þeim	fpkfþ
haft	sþghen
.	pl
»	pg

Jón	nken-s
H.	ks
B.	ks
segir	sfg3en
að	c
engin	foven
stoð	nven
sé	svg3en
fyrir	af
þeirri	faveþ
kröfu	nveþ
í	af
lögum	nhfþ
að	c
þeir	fakfn
sem	ct
rannsaki	svg3fn
mál	nhfo
og	c
beri	svg3fn
ábyrgð	nveo
séu	svg3fn
kallaðir	sþgkfn
fyrir	af
dóm	nkeo
til	af
að	cn
gefa	sng
skýrslu	nveo
um	af
meðferð	nveo
þess	fphee
eða	c
rannsóknaraðgerðir	nvfo
.	pl

Jafnframt	aa
segir	sfg3en
Jón	nken-s
það	fpheo
vera	sng
á	af
ábyrgð	nveo
fjölmiðlamanna	nkfe
hvernig	aa
þeir	fpkfn
fjalli	svg3fn
um	af
tiltekin	lhfosf
mál	nhfo
.	pl

Jón	nken-s
H.	ks
B.	ks
Snorrason	nken-s
,	pk
yfirmaður	nken
efnahagsbrotadeildar	nvee
:	pa
«	pg
