-	pa
tónleikur	nken
víða	aa
.	pl

Tey	fahfn
450	ta	UNKNOWN
fólkini	nhfng
,	pk
ið	ct
vóru	svg3fþ	UNKNOWN
so	aa
heppin	lhfnsf
at	cn
fáa	sng
atgongumerki	nhfo
til	af
kappingina	nveog
,	pk
høvdu	svg3fþ
ikki	aa
leitað	sþmhen
sær	fphfþ
í	af
TB	ks	UNKNOWN
-	pa
húsið	nheog
til	af
fánýtis	nhee
.	pl

Mest	aae
kendi	lkenvf
bólkurin	nkeng
á	af
Prix	e	UNKNOWN
Føroyar	nvfo-s	UNKNOWN
kappingini	nveþg
á	af
Tvøroyri	nveþ-s	UNKNOWN
var	svg3eþ
bólkurin	nkeng
Kjølar	nkfn	UNKNOWN
.	pl

Tónleikurin	nkeng
er	svg3en
alternativur	sþmken	UNKNOWN
grunge	e	UNKNOWN
tónleikur	nken
,	pk
og	c
var	svg3eþ
hesin	faken
væl	aa
móttikin	sþmken	UNKNOWN
á	af
Tvøroyri	nveþ-s	UNKNOWN
leygarkvøldið	nheog
.	pl

Flemming	nken-s	UNKNOWN
Mikkelsen	n----s	UNKNOWN
,	pk
løgtingsmaður	nken
í	af
Suðuroy	nveþ-s	UNKNOWN
vil	svg3en
hava	sng
at	cn
vita	sng
,	pk
um	c
ætlanin	nveng
er	svg3en
at	cn
gera	sng
nakað	fbheo
við	af
vegin	nkeog
ímillum	af
øravík	nheo	UNKNOWN
og	c
Hov	nheo-s

Dagliga	aa
koyra	svg3fn
einir	to
600	ta	UNKNOWN
bilar	nkfn
eftir	af
hesum	fakeþ
vegnum	nkeþg
.	pl

Tað	fphen
merkir	svg3en
samstundis	aa
,	pk
at	c
liðið	nheng
heldur	svg3en
fram	aa
í	af
HM	ks	UNKNOWN
-	pa
kappingini	nveþg
og	c
skal	svg3en
til	af
Danmarkar	nhee-s	UNKNOWN
at	cn
halda	sng
páskir	nvfo

Tað	fphen
er	svg3en
eisini	aa
frálíkt	lhensf
at	cn
vita	sng
,	pk
at	c
liðið	nheng
nú	aa
ikki	aa
bert	aa
verður	svg3en
syndrað	sþmhen
,	pk
sum	ct
nógv	aa
helst	aae
høvdu	svg3fþ
roknað	sþmhen
við	aa
,	pk
fór	svg3eþ
at	cn
henda	sng
.	pl

Sosialurin	nkeng	UNKNOWN
ynskir	svg3en
U18	ks	UNKNOWN
landsliðnum	nheþg
og	c
Hondbóltssambandinum	nheþg	UNKNOWN
tillukku	nheo	UNKNOWN
við	af
frálíka	lheþvf
úrslitinum	nheþg
og	c
ynskir	svg3en
góða	lveosf
eydnu	nveo
um	af
páskirnar	nvfog
,	pk
tá	c
enn	aa
sterkari	lhfnsm
mótstøðulið	nhfn
bíða	svg3fn
niðri	aa
í	af
Danmark	nheþ-s	UNKNOWN
.	pl

Men	c
av	af
tí	fpheþ
,	pk
at	c
Norðhavið	nheng	UNKNOWN
er	svg3en
friðað	sþmhen
,	pk
noyðast	svm3fn
teir	fpkfn
sostatt	aa
heilt	aa
út	aa
á	af
20	ta	UNKNOWN
fjórðingar	nkfo
fyri	aa
at	cn
kunna	sng
fiska	sng
.	pl

Finnbogi	nken-s	UNKNOWN
Arge	n----s	UNKNOWN
,	pk
landsstýrismaður	nken
:	pl
-	pa
Tit	fp2fn	UNKNOWN
mugu	svg2fn	UNKNOWN
geva	sng
tol	nheo

-	pa
Tey	fphfn
kunnu	svg3fn	UNKNOWN
vænta	sng
sær	fphfþ
eina	fbveo
hækking	nveo
upp	aa
á	af
umleið	aa
150	to	UNKNOWN
túsund	tf
krónur	nvfo
og	c
tað	fphen
vil	svg3en
siga	sng
,	pk
at	c
upphæddin	nveng
,	pk
sum	ct
vestmenningar	nkfn
so	aa
fáa	svg3fn
fer	svg3en
at	cn
liggja	sng	UNKNOWN
um	af
eina	fbveo
hálva	lveosf
millión	nveo
,	pk
sigur	svg3en
Finnbogi	nken-s	UNKNOWN
Arge	n----s	UNKNOWN
.	pl

-	pa
Eg	fp1en
skilji	svg1en
væl	aa
støðuna	nveog
teir	fpkfn
eru	svg3fn	UNKNOWN
í	aa
,	pk
tí	c
ferjulegan	nveng
fíggjarliga	aa
er	svg3en
ógvuliga	aa
tung	lvensf
at	cn
reka	sng
,	pk
men	c
í	af
grundini	nveþg
hava	svg3fn
teir	fpkfn
sjálvir	fokfn
skapt	sng
ta	faveo
støðu	nveo
,	pk
teir	fpkfn
eru	svg3fn	UNKNOWN
í	aa
,	pk
sigur	svg3en
hann	fpken
.	pl

Einki	fbhen
hald	nhen
í	af
hasum	faheþ

Harnæst	aa
kann	svg3en
stjórin	nkeng
á	af
Almannastovuni	nveþg
ikki	aa
úttala	sng
seg	fpkeo
um	af
einastaklingamál	nhfo	UNKNOWN
,	pk
út	aa
frá	af
tí	fpheþ
,	pk
sum	ct
kom	svg3eþ
fram	aa
á	af
tingsins	nheeg
røðarapalli	nkeþ
,	pk
eins	c
og	c
hon	fpven
ikki	aa
vil	svg3en
gera	sng
viðmerkingar	nvfo
til	af
tað	fpheo
,	pk
sum	ct
kom	svg3eþ
fram	aa
í	af
viðtalinum	nheþ
við	af
Útvarpið	nheog
sunnudagin	nkeog
.	pl

M.a.	ks	UNKNOWN
vístu	svg3fþ
teir	fpkfn
á	af
,	pk
at	c
tað	fphen
kostaði	svg3eþ
virkjum	nhfþ
kring	af
landið	nheog
nógv	aa
meiri	aam
at	cn
útflyta	sng	UNKNOWN
fisk	nkeo
,	pk
tí	c
tey	fphfn
skuldu	svg3fþ	UNKNOWN
fyrst	aae
flyta	sng
hann	fpkeo
til	af
Havnar	nvee-s
fyri	af
egnu	lveovf	UNKNOWN
rokning	nveo
.	pl

Og	c
einaferð	aa
endaði	svg3eþ
tað	fphen
við	aa
at	c
vit	fp1fn
fingu	svg1fþ	UNKNOWN
ein	fbkeo
kunnandi	slg
fund	nkeo
við	af
Anfinn	nkeo-s	UNKNOWN
Kallsberg	nhen-s	UNKNOWN
,	pk
sum	ct
umsat	svg3eþ
fiskivinnumál	nhfo
fyribils	aa
.	pl

-	pa
Verður	svg3en
bara	aa
flutningur	nken
latin	sþmken
til	af
fesk	lhfosf
fløk	nhfo
,	pk
verða	svg3fn
øll	fbhfn
hini	fahfn
virkini	nhfng
nógv	aa
verri	aam	UNKNOWN
fyri	aa
.	pl

Hann	fpken
heldur	svg3en
,	pk
at	c
ein	fbven
orsøk	nven
til	af
tað	fpheo
er	svg3en
,	pk
at	c
politikarar	nkfn
skilja	svg3fn
ikki	aa
trupulleikan	nkeog
í	af
fiskivinnuni	nveþg
úti	aa
um	af
landið	nheog
.	pl

Á	af
nýggjárinum	nheþg
var	svg3eþ
hann	fpken
komin	sþmken	UNKNOWN
niður	aa
á	af
knappar	svg3en
70	to	UNKNOWN
túsund	tf
krónur	nvfo
.	pl

Í	af
1999	ta	UNKNOWN
verður	svg3en
landsliðið	nheng
fýra	tf
ferðir	nvfo
á	af
heimavølli	nkeþ
og	c
bara	aa
eina	fbveo
ferð	nveo
á	af
útivølli	nkeþ
.	pl

Sunnukvøldið	nheog
á	af
midnátt	nveþ
var	svg3eþ
morsilykilin	nkeng	UNKNOWN
innilæstur	sþmken
í	af
altjóða	lkeþsf
samanhangi	nkeþ
og	c
í	af
tí	faheþ
sambandinum	nheþg
varð	svg3eþ	UNKNOWN
skipað	sþmhen
fyri	af
lítlari	lveþsf	UNKNOWN
samkomu	nveþ
fyri	af
núverandi	lo
og	c
fyrrverandi	lo
starvsfólkum	nhfþ

Ein	fbken
fyrimunur	nken
við	af
hesi	faveþ
skipan	nveþ
er	svg3en
at	c
um	c
tað	fphen
ikki	aa
eydnast	svm3en
at	cn
fáa	sng
beinleiðis	aa
samband	nheo
við	af
skipið	nheog
,	pk
so	aa
sendir	svg3en
GMDSS	ks	UNKNOWN
-	pa
urin	nkeng	UNKNOWN
eina	fbveo
Intentifikatión	nveo	UNKNOWN
og	c
eina	fbveo
positión	nveo	UNKNOWN
,	pk
sum	ct
tryggjar	svg3en
at	c
hjálp	nven
kann	svg3en
sendast	snm
til	af
rætta	lheosf
stað	nheo
,	pk
hóast	c
ein	fbken
ikki	aa
hevur	svg3en	UNKNOWN
munnligt	lheosf
samband	nheo
við	af
skipið	nheog
.	pl

Fólk	nhfn
vilja	svg3fn
heldur	aam
ringja	sng
beinleiðis	aa
,	pk
enn	aa
at	cn
ringja	sng
til	af
okkara	fp1fe
,	pk
og	c
tað	fpheo
mugu	svg1fn	UNKNOWN
vit	fp1fn
góðtaka	sng
,	pk
sigur	svg3en
Aksel	nken-s	UNKNOWN
Haraldsen	n----s	UNKNOWN

Vit	fp1fn
kunnu	svg1fn	UNKNOWN
ikki	aa
bara	aa
vera	sng
í	af
status	e	UNKNOWN
quo	e	UNKNOWN
støðu	nveþ
,	pk
soleiðis	aa
at	c
einki	fbhen
hendir	svg3en
.	pl

Í	af
Føroyum	nvfþ-s	UNKNOWN
er	svg3en
tað	fphen
løgmaður	nken
,	pk
sum	ct
situr	svg3en
fyri	af
uttanlandsmálum	nhfþ	UNKNOWN
og	c
sum	ct
samskipar	svg3en
uttanlandsmál	nhfo	UNKNOWN
.	pl

Anfinn	nken-s	UNKNOWN
Kallsberg	nhen-s	UNKNOWN
heldur	svg3en
,	pk
at	c
vit	fp1fn
mugu	svg1fn	UNKNOWN
viðgera	sng
og	cn
taka	sng
støðu	nveo
til	af
uttanlandsmálini	nhfog	UNKNOWN
uttan	af
mun	nkeo
til	af
,	pk
hvat	fshen
hendir	svg3en
í	af
viðurskiftunum	nhfþg
millum	af
Danmark	nheo-s	UNKNOWN
og	c
Føroyar	nvfo-s	UNKNOWN
.	pl

at	c
meðan	c
Danmark	nhen-s	UNKNOWN
er	svg3en
við	aa
í	af
einum	fbkeþ
rívandi	slg
útviklingi	nkeþ	UNKNOWN
innan	af
ES	ks	UNKNOWN
,	pk
so	aa
eru	svg1fn	UNKNOWN
vit	fp1fn
als	aa
ikki	aa
við	aa
í	af
tí	faheþ
samstarvinum	nheþg
.	pl

-	pa
Tað	fpheo
sigi	svg1en
eg	fp1en
ikki	aa
neyðturviliga	aa
,	pk
men	c
tað	fphen
er	svg3en
neyðugt	lhensf
at	cn
fáa	sng
avklárað	sþmhen
spurningin	nkeog
.	pl

Løgmaður	nken
sær	svg3en
annars	aa
fyri	af
sær	fpkeþ
stórar	lkfosf
møguleikar	nkfo
fyri	af
at	cn
menna	sng
samvinnuna	nveog
við	af
bretar	nkfo
í	af
framtíðini	nveþg
.	pl

Vit	fp1fn
prenta	svg1fn
her	aa
samandrátt	nkeo
løgmans	nkeeg
av	af
Uttanlandsmálum	nhfþ	UNKNOWN
í	af
frágreiðingini	nveþg
,	pk
sum	ct
varð	svg3eþ	UNKNOWN
latin	sþmven
tinginum	nheþg
í	af
farnu	lveþvf	UNKNOWN
viku	nveþ
.	pl

Annars	aa
verður	svg3en
víst	sþmhen
til	af
tað	faheo
Reyða	lheovf
Álitið	nheog
,	pk
ið	ct
var	svg3eþ
latið	sþmhen
løgtinginum	nheþg
í	af
fjør	n---
.	pl

Karl	nken-s	UNKNOWN
formaður	nken
í	af
25	ta	UNKNOWN
ár	nhfo

Karl	nken-s	UNKNOWN
Johansen	n----s	UNKNOWN
varð	svg3eþ	UNKNOWN
fyrstu	lveove
ferð	nveo
valdur	sþmken
til	af
formann	nkeo
í	af
Havnar	nvee-s
Arbeiðsmannafelag	nhen
í	af
1976	ta	UNKNOWN
og	c
hevur	svg3en	UNKNOWN
sitið	sþmhen
øll	fbhfo
árini	nhfog
síðani	aa
.	pl

-	pa
Hetta	faheo
gera	svg1fn
vit	fp1fn
fyri	aa
at	cn
varðveita	sng
nakrar	fbkfo
grønar	lkfosf
blettir	nkfo
í	af
býnum	nkeþg
og	c
fyri	aa
at	cn
skapa	sng
ein	fbkeo
hugna	nkeo
hjá	af
fólki	nheþ
mitt	aa
í	af
øllum	fbkeþ
ferðslurokanum	nkeþg	UNKNOWN
.	pl

Somuleiðis	aa
ætlar	svg3en
grunnurin	nkeng
at	cn
byggja	sng
eldraíbúðir	nvfo
á	af
eini	fbveþ
trøð	nveþ
,	pk
teir	fpkfn
hava	svg3fn
keypt	sþmhen
við	af
Dalavegin	nkeo-s	UNKNOWN
umframt	aa
at	c
aðrar	fbvfn
ætlanir	nvfn
eru	svg3fn	UNKNOWN
í	af
umbúna	nkeþ
.	pl

Tey	fphfn
eru	svg3fn	UNKNOWN
í	af
einum	fbheþ
góðum	lheþsf
og	c
vøkrum	lheþsf
umhvørvi	nheþ
við	af
einum	fbkeþ
stórum	lkeþsf
urtagarði	nkeþ
,	pk
sigur	svg3en
Jóannes	nken-s	UNKNOWN
Dalsgarð	nken-s	UNKNOWN
,	pk
stjóri	nken
í	af
Húsalánsgrunninum	nkeþg
.	pl

Tað	fphen
rætta	lhensf
er	svg3en
,	pk
at	c
tey	fphfn
ongantíð	aa
hava	svg3fn
innført	sþmhen	UNKNOWN
hesar	favfo
skipanir	nvfo
,	pk
og	c
tað	fpheo
hava	svg3fn
tryggingarfeløg	nhfn
í	af
eitt	aa
nú	aa
Danmark	nheþ-s	UNKNOWN
verið	sþmhen
nógv	aa
kritiserað	sþghfn	UNKNOWN
fyri	aa
,	pk
sigur	svg3en
Christian	nken-s	UNKNOWN
C	x
.	pl

Fyri	af
tað	faheo
fyrsta	lheove
,	pk
so	aa
kanst	svm2en	UNKNOWN
tú	fp2en	UNKNOWN
loyva	sng
tær	fp2eþ
at	cn
umvæla	sng
gamlar	lkfosf
bilar	nkfo
við	af
brúktum	lkfþsf	UNKNOWN
lutum	nkfþ
,	pk
hóast	c
eg	fp1en
væl	aa
veit	svg1en
,	pk
at	c
hetta	fahen
ikki	aa
verður	svg3en
gjørt	sþmhen
í	af
stóran	lkeosf
mun	nkeo
í	af
Føroyum	nvfþ-s	UNKNOWN
.	pl

Hann	fpken
skjýtur	svg3en
upp	aa
fyri	af
politikarum	nkfþ
,	pk
at	c
næstu	lveose
ferð	nveo
,	pk
Smyril	nken
skal	svg3en
í	af
dokk	nveo
,	pk
verður	svg3en
tað	fphen
gjørt	sþmhen
um	af
summarið	nheog
.	pl

Páll	nken-s	UNKNOWN
Vang	n----s	UNKNOWN
sigur	svg3en
,	pk
at	c
hann	fpken
veit	svg3en
ikki	aa
,	pk
um	c
slík	fohfn
skip	nhfn
kunnu	svg3fn	UNKNOWN
brúkast	snm	UNKNOWN
í	af
Føroyum	nvfþ-s	UNKNOWN
.	pl

Annars	aa
sigur	svg3en
stjórin	nkeng
á	af
Strandferðsluni	nveþg
,	pk
at	c
málið	nheng
um	af
katamaran	nkeo
verður	svg3en
tikið	sþmhen
upp	aa
í	af
sambandi	nheþ
við	af
arbeiðið	nheog
at	cn
fyrireika	sng
nýtt	lheosf
suðuroyarskip	nheo	UNKNOWN
.	pl

Jákup	nken-s	UNKNOWN
Sólstein	nkeo-s	UNKNOWN
,	pk
formaður	nken
í	af
Føroya	nvfe-s	UNKNOWN
Reiðarafelag	nheþ
,	pk
er	svg3en
rættiliga	aa
misnøgdur	lkensf
við	af
atburðin	nkeog
hjá	af
norðmonnum	nkfþ
á	af
fiskivinnuøkinum	nheþg	UNKNOWN
.	pl

Tí	c
hon	fpven
er	svg3en
sjálvandi	aa
eftir	af
lógini	nveþg
.	pl

Jákup	nken-s	UNKNOWN
Sólstein	nkeo-s	UNKNOWN
sigur	svg3en
,	pk
at	c
fyrst	aae
hava	svg3fn
norðmenn	nkfn
býtt	sþmhen
sær	fpkfþ
til	af
240.000	ta	UNKNOWN
tons	nhfo
frá	af
ES	ks	UNKNOWN
.	pl

-	pa
Meiri	aam
áttu	svg3fþ
norsku	lkfnvf	UNKNOWN
myndugleikarnir	nkfng
ikki	aa
at	c
gjørt	sþmhen
við	af
málið	nheog
,	pk
tí	c
hatta	fahen
er	svg3en
so	aa
mikroskopiskt	lhensf	UNKNOWN
,	pk
at	c
tað	fphen
er	svg3en
ikki	aa
vert	lhensf
at	cn
taka	sng
uppá	af
tunguna	nveog
.	pl

-	pa
Vit	fp1fn
eiga	svg3fn
eisini	aa
at	cn
umhugsa	sng
,	pk
um	c
vit	fp1fn
yvirhøvur	aa
skulu	svg3fn	UNKNOWN
lata	sng
tað	fpheo
koma	sng
uppá	af
tal	nheo
at	cn
byggja	sng
tað	faheo
nýggja	lheovf
,	pk
føroyska	lheovf
verjuskipið	nheo
í	af
Noregi	nheþ-s	UNKNOWN
.	pl

-	pa
Teir	fpkfn
brúka	svg3fn
alla	fbveo
sína	fpveo	UNKNOWN
orku	nveo
til	aa
at	cn
seta	sng
føroyingar	nkfo
í	af
eina	fbveo
so	aa
trupla	lveosf	UNKNOWN
støðu	nveo
,	pk
sum	ct
gjørligt	aa
.	pl

-	pa
Í	af
øllum	fbhfþ
hesum	fahfþ
trimum	tfhfþ	UNKNOWN
málunum	nhfþg
eru	svg3fn	UNKNOWN
norðmenn	nkfn
okkara	fp1fe
ringastu	lkfnve	UNKNOWN
fíggindar	nkfn
,	pk
sigur	svg3en
formaðurin	nkeng
í	af
reiðarafelagnum	nheþg
.	pl

Skipið	nheng
kemur	svg3en
til	af
Føroyar	nvfo-s	UNKNOWN
eftir	af
páskir	nvfo

M.a.	ks	UNKNOWN
skal	svg3en
blásari	nken
setast	snm	UNKNOWN
umborð	aa
til	aa
at	cn
blása	sng	UNKNOWN
skipið	nheog
tómt	lhensf
við	aa
,	pk
tá	c
ið	c
lastin	nveng
er	svg3en
í	af
leysum	lheþsf
.	pl

Heri	nken-s
Thomsen	n----s	UNKNOWN
í	af
Gøtu	nveþ-s
eru	svg3fn	UNKNOWN
annars	aa
mest	aae
kendir	sþgkfn
fyri	aa
at	cn
koyra	sng
bil	nkeo
.	pl

Báturin	nkeng
verður	svg3en
serliga	aa
útgjørdur	sþmken
til	aa
at	cn
fylla	sng
á	af
flakar	nkfo
,	pk
m.a.	ks	UNKNOWN
skal	svg3en
hann	fpken
hava	svg3fn
blásarar	nkfo
til	aa
at	cn
blása	sng	UNKNOWN
leysafóður	nheo
úr	af
lastini	nveþg

marknaðarføring	nveo

C	x
.	pl

Hetta	fahen
hevði	svg3eþ	UNKNOWN
við	af
sær	fpheþ
,	pk
at	c
nýggj	lhfnsf
og	c
betri	lhfnsm
gólv	nhfn
komu	svg3fþ
í	af
umklæðingarrúmini	nhfog	UNKNOWN
.	pl

Hóast	c
reiðskapur	nken
til	af
styrkivenjing	nveo	UNKNOWN
ikki	aa
er	svg3en
komin	sþmken	UNKNOWN
í	af
svimjihøllina	nveog
enn	aa
,	pk
so	aa
eru	svg3fn	UNKNOWN
sólir	nvfn
komnar	sþgvfn	UNKNOWN
.	pl

Á	af
síðsta	lkeþse
býráðsfundi	nkeþ	UNKNOWN
í	af
Havn	nveþ-s
varð	svg3eþ	UNKNOWN
samtykt	sþmhen
,	pk
at	c
Tórshavnar	nvee-s	UNKNOWN
kommuna	nven
í	af
framtíðini	nveþg
ikki	aa
loyvir	svg3en
sølu	nveo
av	af
grundstykkjum	nhfþ
sínámillum	aa
.	pl

-	pa
Málið	nheng
er	svg3en
farið	sþmhen
aftur	aa
í	af
byggi-	nveog	UNKNOWN
og	c
býarskipanarnevndina	nveog	UNKNOWN
,	pk
har	aa
tað	fphen
skal	svg3en
gerast	snm	UNKNOWN
av	aa
,	pk
hvussu	aa
farast	snm	UNKNOWN
skal	svg3en
fram	aa
.	pl

-	pa
Prinsippið	nheng	UNKNOWN
í	af
semingsuppskotinum	nheþg
var	svg3eþ
ein	fbven
lønarhækking	nven	UNKNOWN
upp	aa
á	af
6,5	tp	UNKNOWN
%	m
,	pk
býtt	sþmven
upp	aa
á	af
serkrøv	nhfo	UNKNOWN
,	pk
umflokkingar	nveo	UNKNOWN
,	pk
lønarhækking	nveo	UNKNOWN
og	c
at	cn
taka	sng
karensdagarnar	nkfog	UNKNOWN
burtur	aa
.	pl

Aðalverkfall	nhen
hugsandi	slg

Tað	fphen
er	svg3en
B36	ks	UNKNOWN
,	pk
og	c
kanska	aa
serliga	aa
Birgar	nken-s
Johannesen	n----s	UNKNOWN
,	pk
sum	ct
hevur	svg3en	UNKNOWN
víst	sþmhen
stóran	lkeosf
áhuga	nkeo
fyri	af
farnum	sþgvfþ	UNKNOWN
tíðum	nvfþ
.	pl

Fyrr	aam
enn	aa
nú	aa
.	pl

Eisini	aa
verður	svg3en
fríðkað	sþmhen
uttanfyri	aa
og	c
beinkir	nkfn
keyptir	sþgkfn	UNKNOWN
,	pk
so	aa
fólk	nhfn
kunnu	svg3fn	UNKNOWN
sita	sng
uttan	aa
fyri	aa
,	pk
tá	c
ið	c
veðrið	nheng
er	svg3en
til	af
vildar	nvee
.	pl

FM	ks	UNKNOWN
í	af
talvi	nheþ
fyri	af
einstaklingar	nkfo
:	pl
Hesi	fahfo
seinnu	lhfovm	UNKNOWN
árini	nhfog
hevur	svg3en	UNKNOWN
gongdin	nveng
alt	aa
meiri	aam
verið	sþmhen
tann	faven
,	pk
at	c
kappingarnar	nvfng
hava	svg3fn
verið	sþmhen
í	af
Havnini	nveþgs
ella	c
í	af
Klaksvík	nveþ-s	UNKNOWN
,	pk
og	c
tað	fpheo
halda	svg3fn
ábyrgdarpersónarnir	nkfng	UNKNOWN
er	svg3en
spell	nheo

Tað	fphen
eru	svg3fn	UNKNOWN
lokala	lhenvf	UNKNOWN
felagið	nheng
,	pk
sum	ct
skipar	svg3en
fyri	af
FM	ks	UNKNOWN
kappingini	nveþg
.	pl

Í	af
1991	ta	UNKNOWN
varð	svg3eþ	UNKNOWN
kappast	sþmhen
í	af
Hvalvík	nveþ-s	UNKNOWN
,	pk
í	af
1992	ta	UNKNOWN
í	af
Runavík	nveþ-s	UNKNOWN
og	c
í	af
1997	ta	UNKNOWN
í	af
Hósvík	nveþ-s	UNKNOWN
.	pl

Tá	c
ið	c
farið	sþmhen
verður	svg3en
til	af
oyggjaleikirnar	nkfog
á	af
Gotlandi	nheþ-s	UNKNOWN
í	af
summar	nheo
,	pk
fara	svg3fn
okkara	fp1fe
súkklarar	nkfn
at	cn
verja	sng
tey	fahfo
heiðursmerki	nhfo
,	pk
sum	ct
teir	fpkfn
vunnu	svg3fþ
á	af
seinastu	lvfþve
oyggjaleikunum	nkfþg
,	pk
og	c
haraftrat	aa	UNKNOWN
fara	svg3fn
teir	fpkfn
at	cn
gera	sng
eina	fbveo
roynd	nveo
at	cn
vinna	sng
enn	aa
gyltari	lhfosm
heiðursmerkir	nhfo
.	pl

Ikki	aa
færri	aam	UNKNOWN
enn	aa
25	ta	UNKNOWN
luttakarar	nkfn
vóru	svg3fþ	UNKNOWN
við	aa
í	af
einkultstartinum	nkeþg	UNKNOWN
.	pl

At	c
tveir	tfkfn
av	af
okkara	fp1fe
súkklarum	nkfþ
standa	svg3fn
seg	fpkeo
væl	aa
uttanlanda	aa	UNKNOWN
,	pk
førir	svg3en
eisini	aa
við	af
sær	fpheþ
,	pk
at	c
meiri	aam
verður	svg3en
kravt	sþmhen
av	af
okkara	fp1fe
heimligu	lkfþsf	UNKNOWN
súkklarum	nkfþ
,	pk
og	c
hesir	fakfn
siga	svg3fn
eisini	aa
,	pk
at	c
teir	fpkfn
hava	svg3fn
ongantíð	aa
gjørt	sþmhen
so	aa
nógv	aa
við	af
venjingina	nveog
sum	c
í	af
ár	nheo
.	pl

KÍ	ks	UNKNOWN
og	c
HB	ks	UNKNOWN
eru	svg3fn	UNKNOWN
einastu	lhfnvf	UNKNOWN
liðini	nhfng
,	pk
sum	ct
hava	svg3fn
fult	lheosf
stigatal	nheo
,	pk
nú	aa
tvey	tfhfn
av	af
átjan	tf
umførum	nhfþ
í	af
kappingini	nveþg
í	af
1999	ta	UNKNOWN
eru	svg3fn	UNKNOWN
løgd	sþghfn
afturum	aa
,	pk
men	c
klaksvíkingar	nkfn
eru	svg3fn	UNKNOWN
fremri	lkfnsm
,	pk
tí	c
teir	fpkfn
hava	svg3fn
betri	lkfosm
málmun	nkeo
.	pl

Skulu	svg1fn	UNKNOWN
vit	fp1fn
nevna	sng
ein	fbkeo
dyst	nkeo
,	pk
har	aa
HB	ks	UNKNOWN
ikki	aa
verður	svg3en
mett	sþmhen
at	cn
verða	sng
sjálvsagdur	sþmken
vinnari	nken
,	pk
so	aa
er	svg3en
tað	fphen
,	pk
tá	c
teir	fpkfn
skulu	svg3fn	UNKNOWN
spæla	sng
móti	af
KÍ	ks	UNKNOWN
á	af
útivølli	nkeþ
,	pk
og	c
tað	fphen
verður	svg3en
sunnudagin	nkeog
.	pl

Men	c
teir	fpkfn
hava	svg3fn
ikki	aa
ráð	nheo
at	cn
missa	sng
nakað	fbheo
,	pk
tá	c
fuglfirðingar	nkfn
komandi	slg
sunnudag	nkeo
møta	svg3fn
upp	aa
í	af
Gundadali	nkeþ-s	UNKNOWN
.	pl

VB	ks	UNKNOWN
hevur	svg3en	UNKNOWN
fleiri	lvfosm	UNKNOWN
ferðir	nvfo
áður	aa
snýtt	sþmhen
GÍ	ks	UNKNOWN
í	af
Sarpigerði	nkeþ-s	UNKNOWN
,	pk
og	c
úrslitini	nhfng
hjá	af
GÍ	ks	UNKNOWN
hesar	fakfo
síðstu	lkfove
dagarnar	nkfog
hava	svg3fn
verið	sþmhen
alt	fbheo
annað	fbheo
enn	aa
sannførandi	slg
.	pl

Kvinnufelagasamskipan	nven	UNKNOWN
Føroya	nvfe-s	UNKNOWN
átalar	svg3en
harðliga	aa
,	pk
at	c
løgtingsmaður	nken
kann	svg3en
varðveita	sng
sess	nkeo
sín	fpkee
í	af
tinginum	nheþg
,	pk
hóast	c
hann	fpken
er	svg3en
dømdur	sþmken	UNKNOWN
sekur	lkensf
í	af
neyðtøku	nveþ
.	pl

Í	af
gjár	n---	UNKNOWN
var	svg3eþ
ein	fbken
stórur	lkensf
dagur	nken
hjá	af
íbúgvunum	nkfþ
Inni	aa
á	af
Gøtu	nveþ-s
í	af
Hoyvík	nveþ-s	UNKNOWN
.	pl

Afturat	af
sær	fpveþ
fær	svg3en	UNKNOWN
hon	fpven
sjey	tf
starvsfólk	nhfo
,	pk
ið	ct
øll	fbhfn
eru	svg3fn	UNKNOWN
sett	sþghfn
.	pl

Næsta	lhenve
stigið	nheng

-	pa
Serlæknafelagið	nheng	UNKNOWN
hevur	svg3en	UNKNOWN
ikki	aa
góðkent	sþmhen
avtaluna	nveog
.	pl

serlæknafelagið	nheng	UNKNOWN
greitt	lhensf
,	pk
at	c
avtalan	nveng
er	svg3en
ikki	aa
bindandi	slg
fyri	af
serlæknarnar	nkfog
.	pl

Ein	fbken
av	af
teimum	fakfþ
er	svg3en
sekstan	tf
ár	nhfn
,	pk
meðan	c
hinir	fakfn
báðir	fbkfn	UNKNOWN
eru	svg3fn	UNKNOWN
ellivu	tf
ára	nhfe
gamlir	lkfnsf
.	pl

Jens	nkeþ-s	UNKNOWN
Jacobsen	n----s	UNKNOWN
,	pk
yvirportørur	nken	UNKNOWN
,	pk
sigur	svg3en
,	pk
at	c
sjúkrahúsið	nheng
í	af
fleiri	lhfosm	UNKNOWN
ár	nhfo
hevur	svg3en	UNKNOWN
søkt	sþmhen
um	aa
at	cn
fáa	sng
nýggjan	lkeosf
sjúkrabil	nkeo
,	pk
men	c
enn	aa
er	svg3en
eingin	fbven
játtan	nven
komin	sþmven	UNKNOWN
.	pl

Gamli	lkenvf	UNKNOWN
sjúkrabilurin	nkeng
,	pk
ið	ct
motorurin	nkeng
brendi	svg3eþ
saman	aa
á	aa
,	pk
er	svg3en
nú	aa
gjørdur	sþmken
aftur	aa
.	pl

Tað	fphen
er	svg3en
meira	aam
enn	aa
so	aa
